          X           Y               RA              DEC         m_B       err_B         m_V       err_V         m_R       err_R 
   1350.300    3428.460      308.8352645       60.1246955      24.176       0.026      21.889       0.007      20.318       0.006 
   2417.720    3740.370      308.8552343       60.1175887      27.375       0.234      24.286       0.017      22.129       0.010 
   4617.370    3026.970      308.9062816       60.1170095      25.286       0.087      22.108       0.005      20.492       0.004 
   1151.940    2077.450      308.8409931       60.1394407      26.373       0.102      23.911       0.013      22.149       0.009 
   1874.250    2276.490      308.8546005       60.1347563      26.678       0.117      24.136       0.016      22.040       0.008 
   1074.920    1806.460      308.8413663       60.1425333      27.400       0.238      24.598       0.019      22.443       0.010 
   2117.420    2002.030      308.8616764       60.1367237      27.397       0.226      24.312       0.018      22.270       0.010 
   2278.540    1980.010      308.8651967       60.1363679      26.310       0.092      23.820       0.012      22.145       0.009 
   2382.580    2823.340      308.8612015       60.1272360      27.432       0.264      24.446       0.018      22.177       0.010 
   4244.700    4705.580      308.8862409       60.1009407      24.796       0.030      22.240       0.006      20.068       0.004 
   2465.520    2403.980      308.8659954       60.1312885      27.282       0.270      24.251       0.017      22.344       0.010 
   1141.620    1285.340      308.8465648       60.1477018      22.830       0.013      21.999       0.006      21.302       0.008 
   2007.520    1416.010      308.8636692       60.1432057      27.703       0.265      24.517       0.018      22.220       0.009 
   3797.750    1414.010      308.9010098       60.1367278      26.482       0.099      23.654       0.012      22.098       0.010 
   4232.550    2037.280      308.9055086       60.1286793      27.038       0.161      24.270       0.038      22.574       0.040 
   3502.860    1665.560      308.8930210       60.1351881      26.396       0.090      23.904       0.012      22.033       0.010 
   1100.400    2257.730      308.8386016       60.1377558      27.469       0.219      24.526       0.019      22.430       0.010 
   1900.070    2636.190      308.8525106       60.1309284      23.027       0.014      22.198       0.005      21.555       0.006 
   2580.770     818.290      308.8799963       60.1473303      26.160       0.081      23.583       0.011      21.950       0.009 
   4278.370    3136.630      308.8984166       60.1171030      24.360       0.039      22.099       0.006      20.622       0.007 
   2086.700    2035.850      308.8607887       60.1364840      26.877       0.184      24.368       0.016      22.463       0.011 
   2240.860    1669.170      308.8666838       60.1397313      24.273       0.051      23.183       0.014      21.955       0.011 
   2095.920    1861.860      308.8622528       60.1382568      22.846       0.014      22.138       0.006      21.528       0.006 
   2480.250    3421.280      308.8588682       60.1206745      26.712       0.132      24.115       0.019      22.339       0.012 
   4711.660    4378.310      308.8983581       60.1026417      23.845       0.020      21.816       0.005      20.501       0.005 
   1161.460    1707.650      308.8438930       60.1432455      24.741       0.055      22.987       0.010      21.856       0.010 
   2251.850    2055.790      308.8640863       60.1356780      27.405       0.196      24.133       0.014      22.411       0.011 
   2192.450    2561.230      308.8591536       60.1306465      24.667       0.043      22.927       0.008      21.803       0.009 
   1433.550    2893.510      308.8409053       60.1299479      27.171       0.173      24.680       0.022      22.532       0.012 
   1054.690    1801.880      308.8409778       60.1426541      26.939       0.173      24.272       0.016      22.425       0.010 
   4923.520    3568.680      308.9086939       60.1102748      24.673       0.033      22.300       0.006      20.656       0.004 
   2607.480     751.620      308.8810412       60.1479254      27.232       0.174      24.438       0.019      22.320       0.012 
   4130.890    1620.010      308.9064454       60.1333794      23.530       0.108      22.575       0.059      22.126       0.068 
   4935.770    3360.090      308.9104758       60.1123951      22.989       0.013      21.912       0.005      21.110       0.007 
   2932.350    3243.370      308.8695899       60.1208815      24.688       0.040      23.081       0.009      21.993       0.009 
   3078.920    1080.920      308.8884620       60.1427958      27.657       0.229      24.481       0.017      22.515       0.011 
   1344.780    1919.420      308.8461690       60.1403826      24.613       0.054      23.630       0.018      22.288       0.013 
   3314.920    1952.810      308.8870012       60.1328891      27.146       0.163      24.119       0.016      22.104       0.009 
   3210.420    3840.890      308.8710171       60.1136701      24.876       0.034      22.440       0.007      20.703       0.006 
   2296.180    3310.990      308.8558377       60.1224869      27.377       0.248      24.164       0.016      22.534       0.014 
   2309.400    1671.890      308.8680931       60.1394544      27.442       0.206      24.421       0.017      22.591       0.012 
   2097.290    1450.770      308.8652870       60.1425193      26.889       0.166      24.492       0.020      22.551       0.012 
   3428.070     978.380      308.8964926       60.1425921      24.658       0.053      23.307       0.032      22.282       0.037 
   1816.960    2525.640      308.8515856       60.1323774      26.907       0.171      23.945       0.013      22.439       0.014 
    980.560    2015.110      308.8378743       60.1407089      27.110       0.183      24.664       0.031      23.061       0.029 
   1161.220    1865.250      308.8427367       60.1416102      27.241       0.197      24.509       0.017      22.703       0.016 
   2220.360    3260.590      308.8546257       60.1232851      27.330       0.209      24.197       0.017      22.550       0.015 
   2250.510     976.770      308.8719491       60.1468838      23.440       0.039      22.796       0.028      22.115       0.034 
   3639.550    3013.140      308.8860100       60.1207047      27.649       0.253      24.226       0.016      22.638       0.013 
   3213.960    2048.550      308.8841962       60.1322619      27.506       0.269      24.870       0.029      22.953       0.032 
   1321.200    2836.340      308.8389805       60.1309485      27.001       0.156      24.624       0.026      22.456       0.012 
   3585.030    2262.680      308.8903639       60.1286920      26.893       0.156      24.148       0.019      22.723       0.015 
   4025.400    3310.190      308.8918766       60.1162204      22.602       0.012      22.046       0.005      21.567       0.007 
   2857.980    3310.030      308.8675529       60.1204594      27.143       0.180      24.331       0.016      22.505       0.012 
   2342.040    3249.490      308.8572428       60.1229591      23.405       0.020      22.566       0.007      21.864       0.008 
   1461.910    3392.010      308.8378571       60.1246696      26.864       0.135      24.275       0.017      22.318       0.011 
   2263.380    1191.370      308.8706477       60.1446095      26.834       0.130      24.032       0.013      22.511       0.012 
   1963.990    2831.640      308.8524153       60.1286676      24.662       0.040      23.171       0.008      22.144       0.010 
   4688.690    4417.320      308.8975944       60.1023202      24.062       0.021      22.174       0.008      20.941       0.006 
   1782.180    1696.510      308.8569193       60.1411110      27.309       0.208      24.609       0.020      22.842       0.013 
   1137.510    3111.150      308.8331446       60.1287608      27.356       0.182      24.574       0.019      22.384       0.012 
    976.250    3197.330      308.8291536       60.1284501      25.633       0.066      22.988       0.010      20.948       0.006 
   2218.230    3228.960      308.8548123       60.1236211      26.606       0.138      24.384       0.016      22.788       0.017 
   3271.750    1863.830      308.8867524       60.1339694      25.268       0.049      23.456       0.009      22.264       0.010 
   4068.410    3407.630      308.8920599       60.1150528      25.647       0.088      22.935       0.008      20.990       0.005 
   1001.150    2032.780      308.8381747       60.1404509      24.056       0.029      23.177       0.019      22.175       0.018 
   4905.660    1393.140      308.9242551       60.1329174      24.589       0.030      22.415       0.008      20.953       0.006 
   1029.080    1503.250      308.8426252       60.1458473      27.300       0.209      24.531       0.024      22.706       0.019 
   1862.380    1529.240      308.8598146       60.1425567      27.568       0.243      24.471       0.017      22.793       0.013 
   3828.390    1381.570      308.9018860       60.1369532      27.242       0.195      24.282       0.015      22.722       0.012 
   3629.570    4518.020      308.8748005       60.1051203      25.617       0.057      23.088       0.007      21.025       0.005 
   4542.340    4688.210      308.8925660       60.1000402      26.932       0.146      23.727       0.014      20.913       0.006 
   1214.820    1943.340      308.8432840       60.1406052      23.271       0.014      22.706       0.007      22.178       0.009 
   1424.040    1616.010      308.8500389       60.1432452      22.649       0.012      22.338       0.007      22.087       0.009 
   2505.440    1461.020      308.8737230       60.1409321      27.256       0.185      24.430       0.018      22.832       0.014 
   3973.680    2453.980      308.8970635       60.1252950      27.094       0.177      24.460       0.022      22.687       0.013 
   3138.720    3820.850      308.8696697       60.1141383      26.435       0.104      23.511       0.009      21.023       0.005 
   1027.800    1560.060      308.8421835       60.1452622      25.036       0.049      23.774       0.016      22.601       0.018 
   4035.670    2536.680      308.8977501       60.1242115      26.919       0.150      24.237       0.015      22.747       0.013 
   1766.810    1746.740      308.8562317       60.1406453      26.826       0.129      24.115       0.015      22.692       0.013 
   3518.380    3374.710      308.8808411       60.1173915      25.831       0.075      23.244       0.015      21.048       0.014 
   4752.860    3853.230      308.9030572       60.1079417      25.549       0.062      23.227       0.009      21.068       0.007 
   3826.390    4351.390      308.8801178       60.1061356      26.339       0.090      23.612       0.015      21.080       0.010 
   1164.780    1798.350      308.8432996       60.1422918      27.086       0.190      24.458       0.017      22.935       0.013 
   4086.460    2343.530      308.9002222       60.1260317      27.834       0.261      24.500       0.021      22.838       0.015 
   4592.120    2413.570      308.9102462       60.1234673      25.189       0.054      22.857       0.007      21.309       0.006 
   2306.320     975.310      308.8731237       60.1466965      27.381       0.195      24.442       0.017      22.853       0.012 
   4505.640    4288.810      308.8947222       60.1043189      25.573       0.058      23.012       0.009      21.105       0.006 
   3838.520    2313.550      308.8952746       60.1272435      27.504       0.213      24.620       0.020      23.035       0.018 
    999.710    2035.540      308.8381245       60.1404274      26.406       0.165      24.462       0.047      22.959       0.035 
   4391.320    3444.270      308.8985187       60.1134997      26.282       0.120      23.521       0.011      21.279       0.006 
   4608.310    3311.570      308.9040099       60.1140886      22.803       0.012      22.502       0.006      22.266       0.009 
   2089.490    4410.730      308.8435005       60.1118191      22.891       0.015      22.495       0.009      22.195       0.014 
   3921.990    3299.550      308.8897999       60.1167064      26.991       0.186      23.392       0.011      21.411       0.007 
   4509.000    3463.680      308.9008281       60.1128707      22.848       0.012      22.518       0.006      22.177       0.008 
   3550.540    3580.820      308.8800042       60.1151354      24.091       0.027      22.671       0.006      21.722       0.007 
   2511.430    4324.920      308.8529182       60.1111805      25.662       0.060      23.299       0.009      21.334       0.006 
   3065.710     790.240      308.8903144       60.1458609      26.203       0.078      24.047       0.013      22.731       0.012 
   1662.630    2565.740      308.8480751       60.1325206      27.472       0.265      25.640       0.069      23.848       0.054 
   1216.850    3932.980      308.8288012       60.1199406      26.339       0.093      23.531       0.011      21.121       0.007 
   4678.370    2902.290      308.9084651       60.1180818      26.062       0.096      23.318       0.009      21.412       0.006 
   2107.020    3219.320      308.8525648       60.1241244      26.742       0.130      24.047       0.015      22.808       0.017 
   2456.990    3768.520      308.8558471       60.1171541      23.982       0.024      23.058       0.008      22.411       0.010 
   4307.380    2867.210      308.9009926       60.1197939      26.451       0.157      23.690       0.012      21.318       0.006 
   1333.660    1945.710      308.8457450       60.1401499      22.745       0.018      22.622       0.019      22.490       0.020 
   2057.290    2753.990      308.8549275       60.1291355      27.604       0.254      24.805       0.024      23.122       0.022 
   2306.830    3897.890      308.8517732       60.1163555      27.182       0.177      25.163       0.028      23.311       0.021 
   4938.160    4328.500      308.9034391       60.1023358      25.506       0.056      23.112       0.009      21.237       0.007 
   1089.290    1715.290      308.8423320       60.1434277      27.240       0.196      24.717       0.033      23.229       0.024 
   1532.590    1325.640      308.8544250       60.1458661      25.859       0.065      23.772       0.014      22.683       0.015 
   1115.980    1236.160      308.8463894       60.1483053      24.021       0.021      23.305       0.013      22.632       0.016 
   2843.270     877.370      308.8850380       60.1457642      26.769       0.108      24.527       0.017      22.902       0.013 
   4668.320    1243.240      308.9204071       60.1353361      26.104       0.080      23.540       0.014      21.183       0.007 
