          X           Y               RA              DEC         m_B       err_B         m_V       err_V         m_R       err_R 
   1325.360    1675.910      308.8475432       60.1429810      26.759       0.092      24.689       0.019      23.100       0.015 
   2292.490    2553.670      308.8612943       60.1303622      22.382       0.011      21.935       0.005      21.504       0.006 
   2214.490    2496.720      308.8600845       60.1312363      26.855       0.113      24.826       0.013      23.260       0.008 
   2882.040    2093.700      308.8769470       60.1329980      27.526       0.170      25.412       0.016      23.715       0.009 
   2756.200    1698.940      308.8772110       60.1375524      24.245       0.040      23.177       0.023      22.307       0.032 
   2253.650    3178.500      308.8559192       60.1240166      26.953       0.092      25.006       0.013      23.486       0.009 
   2259.790    3186.800      308.8559865       60.1239081      27.408       0.149      25.354       0.016      23.736       0.010 
   1465.620    2710.670      308.8429091       60.1317299      27.563       0.214      25.321       0.015      23.599       0.016 
   4467.030    2656.770      308.9058593       60.1213979      24.476       0.025      22.707       0.004      21.347       0.003 
   4244.420    2298.420      308.9038441       60.1259260      24.440       0.032      23.134       0.011      22.140       0.009 
   2613.350     752.290      308.8811587       60.1478971      27.003       0.094      24.890       0.012      23.256       0.007 
   1897.140    2491.970      308.8535032       60.1324363      27.562       0.176      25.156       0.013      23.397       0.009 
   3569.260    2263.900      308.8900263       60.1287367      27.961       0.178      25.753       0.019      23.975       0.011 
   4245.790    2297.110      308.9038822       60.1259346      24.146       0.025      22.976       0.007      22.044       0.007 
   2410.030    2933.790      308.8609665       60.1259899      27.824       0.198      25.679       0.018      23.998       0.013 
   1437.370    1582.220      308.8505638       60.1435477      24.664       0.068      23.874       0.023      23.039       0.010 
   3072.300    3971.050      308.8671883       60.1128200      25.311       0.036      23.400       0.005      21.793       0.004 
   3060.110    2455.060      308.8780159       60.1286008      26.704       0.093      24.756       0.011      23.239       0.008 
   2724.310    1058.410      308.8812324       60.1443169      27.783       0.183      25.600       0.019      23.871       0.011 
   1303.720    3267.090      308.8354714       60.1265397      26.212       0.070      24.236       0.007      22.716       0.006 
   4855.000    4720.870      308.8988375       60.0985656      23.122       0.011      22.038       0.004      21.173       0.004 
   2676.050    1218.710      308.8790531       60.1428281      26.801       0.080      24.963       0.012      23.469       0.007 
   3033.400    3331.270      308.8710532       60.1196025      26.917       0.097      24.954       0.013      23.371       0.006 
   3073.510    1361.210      308.8862977       60.1399062      24.594       0.023      23.326       0.006      22.332       0.006 
    987.060    1824.800      308.8393999       60.1426612      28.120       0.211      25.822       0.016      24.041       0.010 
   3916.890    3709.480      308.8866957       60.1124700      22.996       0.011      22.062       0.004      21.299       0.004 
   2050.360    4651.420      308.8409286       60.1094620      22.581       0.009      21.910       0.004      21.312       0.005 
   3957.170    1831.990      308.9012724       60.1318105      26.473       0.071      24.590       0.009      23.123       0.007 
   3260.710    2573.750      308.8813288       60.1266407      26.696       0.091      24.746       0.014      23.276       0.011 
   4871.150    2724.410      308.9137836       60.1192272      23.995       0.019      22.567       0.004      21.453       0.004 
   1091.160    1356.450      308.8449927       60.1471464      28.327       0.238      25.910       0.020      24.104       0.015 
   2361.220    4525.340      308.8483255       60.1096444      24.535       0.022      22.854       0.005      21.552       0.004 
   3420.330    2199.180      308.8873957       60.1299492      27.953       0.219      25.830       0.023      24.104       0.010 
   1350.300    3428.460      308.8352645       60.1246955      24.735       0.026      22.968       0.007      21.605       0.006 
   2417.720    3740.370      308.8552343       60.1175887      28.142       0.234      25.726       0.017      23.888       0.010 
   4617.370    3026.970      308.9062816       60.1170095      26.076       0.087      23.588       0.005      21.815       0.004 
   1151.940    2077.450      308.8409931       60.1394407      26.978       0.102      25.069       0.013      23.590       0.009 
   1874.250    2276.490      308.8546005       60.1347563      27.303       0.117      25.330       0.016      23.750       0.008 
   1074.920    1806.460      308.8413663       60.1425333      28.092       0.238      25.909       0.019      24.201       0.010 
   2117.420    2002.030      308.8616764       60.1367237      28.163       0.226      25.750       0.018      23.937       0.010 
   2278.540    1980.010      308.8651967       60.1363679      26.922       0.092      24.990       0.012      23.516       0.009 
   2382.580    2823.340      308.8612015       60.1272360      28.172       0.264      25.840       0.018      24.027       0.010 
