         id               ra              dec             flux      type           n               re              phi            ratio     notes 
       6194       53.1081141      -27.8521554        0.6494978    sersic       2.439        1.0890000       39.4820000        0.4966000   comment 
       6195       53.1753538      -27.8526097       17.7925440    sersic       0.699        3.4310000      -86.7000000        0.5076000   comment 
       6196       53.1504770      -27.8521479        0.2056117    sersic       0.605        1.8080000      -10.1550000        0.2913000   comment 
       6198       53.1239540      -27.8523429        1.4306295    sersic       0.804        5.4360000       17.2910000        0.4656000   comment 
       6199       53.1886166      -27.8522132        4.5788468    sersic       0.954        1.8810000       32.7890000        0.5861000   comment 
       6200       53.0833620      -27.8520684        0.4440408    sersic       0.200        1.0900000      -17.4630000        0.9518000   comment 
       6201       53.1631123      -27.8520772        0.3945547    sersic       0.230        0.8050000       19.6800000        0.1660000   comment 
       6202       53.1725956      -27.8522093        2.3064757    sersic       0.300        0.9470000       50.0870000        0.7623000   comment 
       6204       53.0846052      -27.8520574        0.8723768    sersic       1.930        3.4710000      -81.9870000        0.4210000   comment 
       6205       53.0896744      -27.8522934        2.2267978    sersic       1.011        1.1400000       58.1160000        0.4896000   comment 
       6206       53.1256701      -27.8522303        1.2722677    sersic       1.119        1.2650000       17.0430000        0.9579000   comment 
       6207       53.1460574      -27.8519759        0.3654054    sersic       2.818        1.4460000       10.8230000        0.0801000   comment 
       6208       53.1591391      -27.8523443        3.3210819    sersic       1.199        1.8430000      -17.8140000        0.4508000   comment 
       6209       53.0724277      -27.8519560        0.1804744    sersic       6.212        1.5280000       61.1290000        0.0379000   comment 
       6210       53.1885004      -27.8519405        0.6982808    sersic       1.252        1.3240000       28.8510000        0.6513000   comment 
       6212       53.1300716      -27.8524534        4.4031643    sersic       1.876        3.2300000      -21.8170000        0.7113000   comment 
       6213       53.1644105      -27.8519034        0.7494615    sersic       0.924        1.1510000      -37.1720000        0.6384000   comment 
       6214       53.0720273      -27.8536603       17.3411221    sersic       1.822        4.3240000       -8.6020000        0.5908000   comment 
       6215       53.1093094      -27.8518954        0.2952949    sersic       7.985        6.5780000      -63.5540000        0.0158000   comment 
       6216       53.1588273      -27.8518731        0.3197323    sersic       0.280        0.9480000      -82.4970000        0.6443000   comment 
       6218       53.1183759      -27.8519405        0.5895363    sersic       0.887        1.6200000      -43.8770000        0.9104000   comment 
       6219       53.1064658      -27.8522751        6.6022752    sersic       0.457        1.9710000       17.3020000        0.6015000   comment 
       6220       53.1532737      -27.8518527        0.4626621    sersic       1.525        0.9040000      -49.3180000        0.5850000   comment 
       6222       53.1163226      -27.8519540        1.1205224    sersic       3.005        0.7340000      -31.7270000        0.4037000   comment 
       6223       53.1735456      -27.8524234        8.5949972    sersic       1.212        2.3190000        4.1840000        0.4382000   comment 
       6224       53.1702283      -27.8519897        2.1349930    sersic       0.202        1.4360000       47.7410000        0.8042000   comment 
       6226       53.0867178      -27.8520991        1.3979534    sersic       0.873        2.2240000      -32.7200000        0.3669000   comment 
       6231       53.0877654      -27.8518007        0.6349355    sersic       0.200        0.4990000       27.4270000        0.2831000   comment 
       6232       53.1702408      -27.8517101        0.9962921    sersic       0.953        1.3790000       87.6440000        0.4118000   comment 
       6234       53.1250615      -27.8518242        0.5697404    sersic       7.408        0.4240000      -39.0630000        0.0121000   comment 
       6235       53.1199842      -27.8519561        2.2605381    sersic       3.451        1.3470000       29.1500000        0.6415000   comment 
       6237       53.1427825      -27.8516586        0.7432821    sersic       1.783        2.6040000       48.7700000        0.7761000   comment 
       6239       53.1290379      -27.8517985        0.8070346    sersic       0.858        1.1550000       58.6820000        0.4757000   comment 
       6240       53.0869061      -27.8516718        1.1045760    sersic       0.428        2.2190000      -82.4240000        0.2306000   comment 
       6241       53.1562919      -27.8516753        0.5012484    sersic       8.000       18.8070000       54.3050000        0.3939000   comment 
       6242       53.1627798      -27.8516646        0.7149204    sersic       1.787        1.3840000       68.9620000        0.4324000   comment 
       6243       53.0654988      -27.8517070        1.1525436    sersic       2.373        1.2560000      -57.5390000        0.3102000   comment 
       6244       53.1589947      -27.8516360        0.2232770    sersic       3.961       58.4050000       32.4690000        0.0930000   comment 
       6245       53.1577680      -27.8527605       51.9214195     point       0.200        0.3870000       -4.2080000        0.6487000   comment 
       6246       53.1378151      -27.8531431       34.1018238    sersic       0.579        3.5060000      -53.4510000        0.7698000   comment 
       6249       53.1801217      -27.8515689        0.2876801    sersic       8.000       30.1860000      -61.7750000        0.2613000   comment 
       6250       53.1157504      -27.8515781        0.5803358    sersic       2.908        0.9330000      -85.9060000        0.6349000   comment 
       6251       53.1656111      -27.8520623        3.0413805    sersic       0.218        2.1300000      -46.6890000        0.4349000   comment 
       6252       53.0830962      -27.8517039        0.7837412    sersic       0.622        2.3330000       22.5970000        0.3026000   comment 
       6253       53.1506916      -27.8515300        0.9637195    sersic       2.935        2.8370000      -87.4090000        0.2168000   comment 
       6254       53.1916293      -27.8523030        9.1904931    sersic       0.353        5.2830000       35.4670000        0.1925000   comment 
       6255       53.0828674      -27.8515050        0.8152896    sersic       0.218        1.2220000       57.5770000        0.6798000   comment 
       6256       53.1643565      -27.8515355        1.4289032    sersic       0.200        6.3480000       81.6680000        0.2255000   comment 
