         id               ra              dec             flux      type           n               re              phi            ratio     notes 
       6208       53.1591391      -27.8523443        2.3189767    sersic       1.199        1.8430000      -17.8140000        0.4508000   comment 
       6209       53.0724277      -27.8519560        0.4706345    sersic       2.517        0.6620000      -18.1590000        0.0393000   comment 
       6210       53.1885004      -27.8519405        1.0887182    sersic       1.252        1.3240000       28.8510000        0.6513000   comment 
       6212       53.1300716      -27.8524534        4.0394320    sersic       1.677        2.7420000      -26.5740000        0.6524000   comment 
       6213       53.1644105      -27.8519034        0.8129460    sersic       0.374        1.1190000      -63.2370000        0.5264000   comment 
       6214       53.0720273      -27.8536603       74.5847501    sersic       1.496        3.6260000       -5.0710000        0.5610000   comment 
       6215       53.1093094      -27.8518954        0.3452285    sersic       2.151        1.2760000      -33.2710000        0.9900000   comment 
       6216       53.1588273      -27.8518731        0.4410483    sersic       0.935        1.5720000       10.0730000        0.2273000   comment 
       6218       53.1183759      -27.8519405        1.2461091    sersic       0.887        1.6200000      -43.8770000        0.9104000   comment 
       6219       53.1064658      -27.8522751        4.9055237    sersic       0.724        1.8450000       12.1810000        0.6869000   comment 
       6220       53.1532737      -27.8518527        0.4870478    sersic       1.705        0.7080000       42.4980000        0.6207000   comment 
       6222       53.1163226      -27.8519540        1.6957744    sersic       2.656        0.6030000      -50.3100000        0.7381000   comment 
       6223       53.1735456      -27.8524234        9.0785129    sersic       1.114        2.3100000        2.7370000        0.4162000   comment 
       6226       53.0867178      -27.8520991        1.9247146    sersic       1.011        2.5640000      -22.2720000        0.4015000   comment 
       6231       53.0877654      -27.8518007        2.6008020    sersic       0.686        0.5740000      -59.1160000        0.3923000   comment 
       6232       53.1702408      -27.8517101        1.1579929    sersic       0.953        1.3790000       87.6440000        0.4118000   comment 
       6234       53.1250615      -27.8518242        1.5122445    sersic       2.166        4.3060000      -23.1380000        0.5324000   comment 
       6235       53.1199842      -27.8519561        3.3479623    sersic       3.451        1.3470000       29.1500000        0.6415000   comment 
       6237       53.1427825      -27.8516586        0.6072030    sersic       1.783        2.6040000       48.7700000        0.7761000   comment 
       6239       53.1290379      -27.8517985        2.4768845    sersic       1.683        1.0750000      -80.9240000        0.7429000   comment 
       6240       53.0869061      -27.8516718        1.0877004    sersic       1.558        2.8510000      -71.8680000        0.2779000   comment 
       6241       53.1562919      -27.8516753        0.9216848    sersic       1.855        3.0720000       21.2080000        0.5427000   comment 
       6242       53.1627798      -27.8516646        0.6727955    sersic       1.089        2.6910000       45.8290000        0.4024000   comment 
       6243       53.0654988      -27.8517070        1.4525327    sersic       2.628        0.9680000      -55.4910000        0.3077000   comment 
       6244       53.1589947      -27.8516360        0.9565336    sersic       3.003        8.0880000        5.7660000        0.3514000   comment 
       6246       53.1378151      -27.8531431       37.5995093    sersic       0.504        3.7790000      -56.3440000        0.6968000   comment 
       6249       53.1801217      -27.8515689        0.5562219    sersic       0.320        1.3940000      -12.5420000        0.4030000   comment 
       6250       53.1157504      -27.8515781        0.4286112    sersic       2.908        0.9330000      -85.9060000        0.6349000   comment 
       6252       53.0830962      -27.8517039        0.8969720    sersic       0.514        3.2450000       18.2880000        0.1842000   comment 
       6253       53.1506916      -27.8515300        0.9862646    sersic       4.093        2.7640000       24.5510000        0.8139000   comment 
       6254       53.1916293      -27.8523030        9.9123775    sersic       0.353        5.2830000       35.4670000        0.1925000   comment 
       6255       53.0828674      -27.8515050        0.5768710    sersic       0.638        1.4340000        8.4040000        0.6471000   comment 
       6256       53.1643565      -27.8515355        3.1538618    sersic       0.372        8.6890000       80.5010000        0.1940000   comment 
       6257       53.1397540      -27.8514963        2.3271315    sersic       0.969        3.2410000       45.2190000        0.7259000   comment 
       6258       53.1635634      -27.8515426        2.2729576    sersic       1.097        4.1630000      -51.6230000        0.2076000   comment 
       6259       53.1486928      -27.8514703        0.9758972    sersic       0.985        0.9270000      -89.8930000        0.4698000   comment 
       6261       53.1299572      -27.8519466        3.5575205    sersic       0.382        3.7250000       22.9020000        0.8607000   comment 
       6262       53.0763163      -27.8520453        3.6885287    sersic       0.393        3.5570000       28.2950000        0.2476000   comment 
       6263       53.0839533      -27.8514419        0.5634134    sersic       0.696        1.4610000      -88.4150000        0.6033000   comment 
       6264       53.1225536      -27.8527296      131.3250401    sersic       1.429        3.1100000       87.7950000        0.4012000   comment 
       6266       53.1056744      -27.8514624        1.5142047    sersic       3.811        7.3930000      -32.5350000        0.4869000   comment 
       6269       53.1023882      -27.8514301        1.0151027    sersic       2.210        2.9550000       30.2350000        0.5132000   comment 
       6271       53.0766562      -27.8513716        1.1776495    sersic       2.401        2.4760000      -75.4700000        0.6515000   comment 
       6272       53.1407919      -27.8513238        0.7682568    sersic       0.473        0.8620000       28.1170000        0.7521000   comment 
       6273       53.0718996      -27.8513026        0.6146566    sersic       0.353        1.5570000      -84.4090000        0.3194000   comment 
       6275       53.1004676      -27.8514706        1.7399454    sersic       0.934        1.3180000      -67.1210000        0.4954000   comment 
       6277       53.0566645      -27.8515587        4.0249656    sersic       4.166        2.1590000       41.3050000        0.8219000   comment 
       6278       53.0601149      -27.8529957       84.2323959    sersic       2.417        1.4060000      -86.7000000        0.7512000   comment 
       6279       53.0965441      -27.8517418       14.3184416    sersic       0.892        1.8530000       47.9830000        0.8342000   comment 
       6280       53.1241658      -27.8512340        1.3563047    sersic       0.402        2.2310000       85.6010000        0.3747000   comment 
       6281       53.1614425      -27.8511781        1.2030881    sersic       2.466       10.7650000       41.0210000        0.1320000   comment 
       6283       53.0599293      -27.8516050        2.3873643    sersic       0.402        2.1990000       -2.0060000        0.7988000   comment 
       6284       53.1609920      -27.8515451        2.2321528    sersic       0.647        3.6350000       44.8340000        0.6169000   comment 
       6285       53.1960915      -27.8516160       12.1544005    sersic       0.825        1.3150000      -58.4030000        0.5580000   comment 
       6286       53.1258587      -27.8511489        1.2442266    sersic       0.730        0.2570000       23.3410000        0.0205000   comment 
       6287       53.1225073      -27.8512535        2.1584953    sersic       0.422        2.3770000       47.7330000        0.4386000   comment 
       6288       53.0821855      -27.8510900        0.9413174    sersic       1.008        1.2900000      -80.6800000        0.4777000   comment 
       6289       53.0849163      -27.8513344        2.7573846    sersic       0.419        2.4240000        9.4540000        0.4455000   comment 
       6290       53.0886718      -27.8518744       26.5184623    sersic       1.502        1.6920000      -55.7640000        0.6492000   comment 
       6291       53.0997602      -27.8510866        0.4976138    sersic       0.601        0.7410000      -28.0000000        0.5728000   comment 
       6292       53.1425193      -27.8510938        0.6985042    sersic       0.728        1.2180000       -8.0580000        0.7907000   comment 
       6294       53.1243597      -27.8516265       11.1155655    sersic       5.154        6.1260000      -44.8070000        0.6510000   comment 
       6295       53.1390891      -27.8512334        1.5882312    sersic       1.512        2.1480000      -62.3540000        0.6736000   comment 
       6296       53.1446002      -27.8515474        5.4578420    sersic       2.141        1.5300000      -28.6820000        0.5667000   comment 
       6297       53.1028817      -27.8511006        1.0133219    sersic       5.464        1.8850000       49.9720000        0.3663000   comment 
       6298       53.1036257      -27.8510409        0.8021877    sersic       0.906        1.3610000        5.9720000        0.6350000   comment 
       6301       53.1850915      -27.8514179       17.2086940    sersic       1.139        2.5710000      -52.6400000        0.4111000   comment 
       6303       53.0949181      -27.8509764        0.8541916    sersic       1.559        0.8600000      -46.4620000        0.0419000   comment 
       6305       53.1721823      -27.8509594        0.8359206    sersic       1.865        1.2680000       16.7580000        0.5228000   comment 
       6306       53.0663721      -27.8509455        0.7171933    sersic       2.984        1.1000000      -87.1740000        0.3261000   comment 
       6307       53.1508686      -27.8513827        3.3729442    sersic       1.040        2.9590000      -16.8780000        0.3213000   comment 
       6308       53.1091671      -27.8529173      238.7323941    sersic       1.864        7.6480000      -87.4430000        0.3291000   comment 
       6309       53.1883529      -27.8510814        6.6294768    sersic       0.772        1.1280000        4.6700000        0.6511000   comment 
       6313       53.0851910      -27.8508672        0.6730231    sersic       2.143        2.0220000      -61.7930000        0.9832000   comment 
       6314       53.1204845      -27.8516400        9.7345347    sersic       0.627        4.0740000      -84.0320000        0.8181000   comment 
       6318       53.0680693      -27.8508017        0.6367698    sersic       6.178        2.4320000      -32.6400000        0.4645000   comment 
       6319       53.1605636      -27.8508137        0.5147891    sersic       3.633        0.3090000      -12.6460000        0.0701000   comment 
       6320       53.1017422      -27.8509732        3.9912268     point       4.802        0.4880000      -53.0500000        0.3216000   comment 
       6321       53.0846325      -27.8510443        2.0679245    sersic       1.462        1.5430000      -14.5960000        0.2828000   comment 
       6322       53.1602181      -27.8509935        1.8031728    sersic       3.217        1.0370000        0.7970000        0.4236000   comment 
       6323       53.1396114      -27.8513928        5.4632657    sersic       1.377        1.2130000      -65.0280000        0.3556000   comment 
       6324       53.1469854      -27.8507678        0.3754606    sersic       1.913        0.7480000       48.0280000        0.1399000   comment 
       6325       53.0588273      -27.8507568        0.7589221    sersic       1.031        0.3160000      -26.2950000        0.6667000   comment 
       6326       53.1652519      -27.8511259        4.2667639    sersic       0.975        2.3260000        7.3430000        0.9740000   comment 
       6327       53.1782778      -27.8507218        0.8091662    sersic       3.717        1.9240000      -29.2730000        0.2951000   comment 
       6328       53.0806666      -27.8507570        0.8185963    sersic       0.965        1.4040000       10.9660000        0.3222000   comment 
       6329       53.1235159      -27.8506727        0.3396162    sersic       2.569        1.5360000       58.3930000        0.4705000   comment 
       6332       53.1224813      -27.8510574        4.4289488    sersic       2.370        1.6750000       79.2880000        0.7700000   comment 
       6334       53.1103995      -27.8506250        0.8470116    sersic       1.225        1.4080000       33.1700000        0.7061000   comment 
       6336       53.1636681      -27.8513335        9.5250583    sersic       6.362        7.1150000      -63.5600000        0.2948000   comment 
       6342       53.0955295      -27.8512778       30.2632819    sersic       0.702        3.1020000       83.4240000        0.5820000   comment 
       6345       53.0833370      -27.8505579        0.4633803    sersic       0.657        1.7930000       29.2950000        0.9230000   comment 
       6346       53.1466090      -27.8509500        3.6538180    sersic       0.532        1.8800000       63.9800000        0.4742000   comment 
       6347       53.1669851      -27.8505375        0.5124590    sersic       0.451        3.9970000      -85.4330000        0.3338000   comment 
       6351       53.1601122      -27.8506566        2.0804100    sersic       4.553        2.1320000       65.8380000        0.5301000   comment 
       6352       53.0803392      -27.8505757        0.6716281    sersic       2.534        0.9350000       78.3320000        0.6263000   comment 
       6354       53.0903434      -27.8509006        2.8818717    sersic       2.073        1.6420000        8.2950000        0.6377000   comment 
       6355       53.1339596      -27.8507240        3.5223606    sersic       0.859        4.0840000      -80.0740000        0.1772000   comment 
       6356       53.1936782      -27.8504891        0.8300037    sersic       0.564        1.5800000       28.8420000        0.5006000   comment 
       6358       53.1080053      -27.8505091        0.9047008    sersic       2.890        2.2100000       38.2610000        0.1734000   comment 
       6359       53.1493990      -27.8512973        7.3140983    sersic       0.426        3.7780000        1.0670000        0.3654000   comment 
       6361       53.1107492      -27.8504290        0.5183738    sersic       0.687        0.5300000       -5.8980000        0.4031000   comment 
       6364       53.0785415      -27.8503590        0.2779909    sersic       6.895        0.2360000       35.4130000        0.0354000   comment 
       6365       53.1766785      -27.8503313        0.6395036    sersic       2.571        1.3810000      -12.8860000        0.6941000   comment 
       6366       53.0942825      -27.8503470        0.7873827    sersic       1.547        1.2200000      -76.3310000        0.9016000   comment 
       6367       53.0930217      -27.8503260        0.9558611    sersic       0.617        1.6540000       59.8640000        0.0311000   comment 
       6368       53.0947088      -27.8507776        3.4658698    sersic       0.343        3.2400000       22.6020000        0.1880000   comment 
       6369       53.1957872      -27.8502902        1.4923427    sersic       1.306        0.8050000      -79.6040000        0.3510000   comment 
       6371       53.1825809      -27.8503490        1.4651450    sersic       1.498        0.6940000       72.4840000        0.0678000   comment 
       6377       53.1629707      -27.8513280       14.0391748    sersic       0.830        4.6620000      -29.2810000        0.6128000   comment 
       6378       53.1714864      -27.8504174        1.7203850    sersic       0.323        2.6210000       22.0680000        0.2720000   comment 
       6380       53.1371352      -27.8521744       42.2483568    sersic       5.785        1.0200000      -70.6890000        0.9237000   comment 
       6382       53.1025904      -27.8504579        6.0934572    sersic       1.973        0.7950000      -64.3290000        0.6928000   comment 
       6383       53.1813533      -27.8503237        2.8025433    sersic       0.691        4.7100000       68.7300000        0.3750000   comment 
       6384       53.1193880      -27.8502562        1.4117639    sersic       2.273        1.1710000      -73.4120000        0.8157000   comment 
       6385       53.1070913      -27.8501667        0.5721634    sersic       1.473        0.9770000      -73.7400000        0.9997000   comment 
       6386       53.0641806      -27.8502256        1.2077422    sersic       0.958        2.4900000      -58.2910000        0.2704000   comment 
       6387       53.0826541      -27.8506710        4.5740815    sersic       0.827        3.3460000       32.9910000        0.1658000   comment 
       6388       53.1674752      -27.8501332        0.9809942    sersic       3.521        2.6500000       38.0280000        0.2181000   comment 
       6390       53.1965708      -27.8516962      147.2747335    sersic       4.315        4.8570000      -24.0890000        0.4299000   comment 
       6391       53.1133487      -27.8501091        0.5974612    sersic       0.336        1.7450000       -0.6420000        0.5832000   comment 
       6392       53.1407050      -27.8505867        8.5050232    sersic       1.363        1.6300000      -37.2740000        0.4921000   comment 
       6394       53.1922348      -27.8503251        6.4490160    sersic       0.654        2.7450000      -44.1480000        0.3556000   comment 
       6396       53.1925707      -27.8500743        2.3004648    sersic       0.450        1.2660000       35.9980000        0.7911000   comment 
       6397       53.0773475      -27.8500263        0.4864286    sersic       2.027        0.9060000       -2.9090000        0.6447000   comment 
       6398       53.0976694      -27.8500151        1.0461224    sersic       6.697       20.8840000       48.8730000        0.8777000   comment 
       6399       53.1138574      -27.8501995        1.8540261    sersic       0.737        4.7500000       73.3180000        0.4873000   comment 
       6402       53.1515841      -27.8501300        0.9629708    sersic       1.740        1.6240000       -3.9530000        0.2683000   comment 
       6403       53.0983263      -27.8504245        7.5726467    sersic       6.473        1.5090000      -31.2650000        0.5018000   comment 
       6404       53.1973956      -27.8501816        3.9138156    sersic       1.847        5.1690000       58.0260000        0.4687000   comment 
       6405       53.1348068      -27.8501427        3.0592216    sersic       1.303        1.3030000      -19.6300000        0.7039000   comment 
       6407       53.0777737      -27.8501057        1.7683119    sersic       0.714        2.4010000       52.6710000        0.3920000   comment 
       6408       53.0572612      -27.8499322        0.4893435    sersic       1.650        0.6210000      -73.9890000        0.3091000   comment 
       6409       53.1528297      -27.8507812       13.2651337    sersic       1.105        3.6050000       41.9730000        0.4333000   comment 
       6410       53.0627033      -27.8499142        0.7538486    sersic       1.527        2.7570000       55.2490000        0.4345000   comment 
       6411       53.0623235      -27.8512594       26.6329455    sersic       1.516        2.8150000      -82.2970000        0.5664000   comment 
       6412       53.0979169      -27.8498931        0.5966245    sersic       0.825        1.1360000       64.2750000        0.0546000   comment 
       6413       53.1468944      -27.8513305       39.7951317    sersic       3.533        2.3090000       37.6320000        0.8894000   comment 
       6414       53.1100783      -27.8504554        7.9147560    sersic       0.925        2.1350000       -7.4230000        0.6487000   comment 
       6415       53.0688818      -27.8505186       29.1404838     point       0.990        0.1660000      -48.9730000        0.2136000   comment 
       6416       53.0660351      -27.8498380        0.4470747    sersic       1.140        3.4730000       81.8960000        0.7186000   comment 
       6418       53.0677128      -27.8500455        2.0775571    sersic       0.677        2.3490000      -55.0270000        0.2391000   comment 
       6420       53.1148252      -27.8498928        2.9789800    sersic       1.842        4.0060000      -51.0780000        0.5277000   comment 
       6421       53.0696522      -27.8497892        0.4996457    sersic       2.660        1.9100000       73.2660000        0.3488000   comment 
       6422       53.0619006      -27.8510455       35.3558485    sersic       6.926        3.4510000       66.7150000        0.7366000   comment 
       6423       53.0707710      -27.8506713       19.7018788    sersic       0.607        2.3920000       -6.2320000        0.3170000   comment 
       6429       53.0934763      -27.8499785        5.0165630    sersic       2.695        1.6620000       82.6990000        0.5102000   comment 
