x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
1682.05,2441.2,28.071,0.276,27.7077018017,5.91e-12,0.009,-0.412,3.9,0.041
1839.6,2476.79,27.999,0.22,27.5891250641,6.31e-12,0.021,0.206,4.9,-0.031
974.18,468.69,27.456,0.137,27.5305971466,1.04e-11,0.003,1.711,7.9,-0.055
2714.58,3398.74,27.501,0.135,27.381042262,9.99e-12,0.017,0.591,8.0,-0.017
2764.26,1826.6,27.704,0.161,27.482693815,8.29e-12,0.005,0.006,6.8,-0.09
844.86,1138.5,27.959,0.218,27.4988751791,6.55e-12,0.043,2.376,5.0,0.178
205.08,1891.08,27.61,0.186,28.3212920518,9.04e-12,0.114,0.429,5.8,-0.063
1793.27,2593.88,27.512,0.151,27.217702654,9.89e-12,0.007,0.594,7.2,0.101
3984.76,471.83,27.876,0.215,27.5739481775,7.07e-12,0.029,3.467,5.1,0.085
1995.52,2040.73,26.43,0.052,26.2222668623,2.68e-11,0.006,0.4,20.9,0.014
3768.65,2388.49,28.205,0.243,27.6633391284,5.22e-12,0.004,0.94,4.5,-0.015
1440.7,1666.62,26.369,0.05,26.1490245749,2.83e-11,0.023,0.42,21.6,-0.003
3187.5,991.35,27.605,0.142,27.5782222496,9.07e-12,0.027,0.077,7.6,0.004
3001.84,2922.83,23.899,0.017,26.0762656812,2.76e-10,0.001,0.126,63.6,-0.049
1002.97,3769.74,26.719,0.078,26.7008330339,2.05e-11,0.001,-0.065,14.0,-0.043
1514.31,3035.8,27.825,0.19,27.4391266598,7.41e-12,0.012,0.778,5.7,0.009
2777.87,3211.7,27.638,0.17,27.5326255064,8.8e-12,0.06,2.195,6.4,0.095
3185.92,80.85,27.99,0.255,99.99,6.37e-12,0.012,-0.793,4.2,-0.072
758.5,2017.06,27.554,0.156,27.6528944872,9.51e-12,0.006,0.087,7.0,-0.0
2255.1,4045.37,28.248,0.295,99.99,5.02e-12,0.028,2.176,3.7,0.082
