x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
628.25,3347.86,26.046,0.035,26.5096216763,3.82e-11,0.016,0.384,30.8,-0.004
2974.96,606.34,26.393,0.049,99.99,2.77e-11,0.011,-0.012,22.0,0.014
3945.68,2989.41,27.16,0.085,26.8199005867,1.37e-11,0.006,1.028,12.7,-0.025
1303.51,3896.1,27.2,0.096,26.8706253195,1.32e-11,0.004,0.325,11.3,-0.003
3018.66,1722.17,27.044,0.085,26.6649906853,1.52e-11,0.001,0.103,12.8,0.004
2015.85,2729.84,28.13,0.235,28.7760102149,5.6e-12,0.014,0.184,4.6,0.024
3767.63,1609.8,27.711,0.146,28.0146510447,8.24e-12,0.089,-0.204,7.4,-0.05
2036.36,2021.72,28.486,0.27,99.99,4.03e-12,0.001,7.651,4.0,0.039
3938.92,1442.12,27.998,0.219,27.9769190854,6.32e-12,0.002,2.404,4.9,0.063
1814.93,3278.06,26.638,0.066,26.7756759396,2.21e-11,0.018,0.534,16.6,0.031
392.97,1882.07,23.924,0.066,99.99,2.69e-10,0.464,0.389,16.5,0.084
3026.7,1843.94,26.339,0.047,25.4673021115,2.91e-11,0.003,-0.076,23.1,-0.0
2307.57,483.02,19.526,0.002,27.9918748474,1.55e-08,0.4,0.355,582.0,-1.324
2955.17,1754.59,28.071,0.199,27.7766498727,5.91e-12,0.029,1.786,5.5,0.002
2136.51,3567.98,26.449,0.05,26.1743629975,2.63e-11,0.007,0.306,21.7,0.01
3835.51,3808.5,28.085,0.177,27.996859664,5.83e-12,0.002,2.737,6.1,0.01
140.3,3861.28,28.154,0.214,28.1000317282,5.48e-12,0.005,4.052,5.1,0.046
1793.34,2605.44,28.314,0.229,27.9576407129,4.72e-12,0.018,0.952,4.7,-0.022
1415.19,110.21,27.188,0.099,26.7344710189,1.33e-11,0.006,0.421,11.0,0.002
1657.68,1560.64,28.368,0.249,27.9167231974,4.5e-12,0.003,0.208,4.4,0.017
351.15,3308.38,24.115,0.008,25.8457658784,2.26e-10,0.054,0.103,135.4,-0.034
1487.18,3697.0,28.308,0.28,99.99,4.75e-12,0.004,1.539,3.9,0.041
1950.78,2896.8,27.781,0.165,27.8750722162,7.72e-12,0.014,-0.078,6.6,-0.089
1608.07,2728.18,28.193,0.256,28.6565564403,5.28e-12,0.022,-0.666,4.2,-0.052
1892.12,1141.67,28.34,0.26,28.7087259172,4.61e-12,0.17,-0.365,4.2,-0.006
1249.29,436.76,27.718,0.141,28.0161983284,8.18e-12,0.029,2.571,7.7,-0.088
3806.81,1352.77,28.055,0.21,27.8135842552,6e-12,0.205,2.103,5.2,-0.037
4084.96,1860.03,23.17,0.032,26.8728761403,5.39e-10,0.092,0.061,33.4,-0.532
1227.09,3046.98,27.012,0.089,26.9434550091,1.57e-11,0.024,0.486,12.2,0.016
3202.47,1110.89,28.23,0.234,27.8774403396,5.11e-12,0.003,1.848,4.6,0.063
2058.05,2528.18,26.867,0.218,27.6554868744,1.79e-11,0.019,2.426,5.0,0.013
3447.2,1809.21,25.889,0.032,25.6474712789,4.41e-11,0.001,0.1,33.7,-0.005
84.98,3086.71,27.719,0.157,27.3499135981,8.17e-12,0.008,1.237,6.9,0.04
3716.08,2224.17,28.147,0.245,99.99,5.51e-12,0.009,3.01,4.4,0.026
1816.81,3858.35,23.503,0.006,24.8688054061,3.97e-10,0.0,0.399,196.3,-0.024
120.63,2931.08,26.558,0.057,28.0707142679,2.38e-11,0.002,0.315,19.2,-0.008
2273.46,3040.44,28.199,0.202,27.9251320452,5.25e-12,0.017,2.153,5.4,0.08
398.95,1911.0,25.347,0.063,99.99,7.26e-11,0.55,0.018,17.1,-0.129
177.13,3150.86,27.987,0.203,28.7989984511,6.39e-12,0.038,0.668,5.4,-0.035
3150.38,3160.94,27.678,0.147,27.4763596082,8.49e-12,0.005,0.672,7.4,0.034
906.22,2670.46,26.81,0.064,26.563416622,1.89e-11,0.004,-0.098,17.0,-0.012
1424.69,1958.26,26.677,0.06,27.8895373481,2.13e-11,0.013,-0.22,18.2,0.009
3818.58,839.14,28.109,0.219,27.9022418099,5.71e-12,0.02,0.969,5.0,0.075
3286.91,465.17,28.135,0.245,27.9621072843,5.57e-12,0.199,1.725,4.4,0.152
1573.93,1336.05,28.134,0.251,29.1995988009,5.58e-12,0.004,0.022,4.3,-0.068
690.96,2399.89,27.481,0.142,25.9397932754,1.02e-11,1.405,1.562,7.6,-0.037
4066.78,1936.16,27.768,0.17,99.99,7.81e-12,0.256,1.563,6.4,-0.06
2979.66,2689.85,27.933,0.183,27.9449550444,6.71e-12,0.001,-0.142,5.9,0.032
248.31,3114.92,28.426,0.289,99.99,4.26e-12,0.022,3.03,3.8,0.069
2545.97,2872.0,22.0,0.005,26.1785091874,1.58e-09,0.079,0.164,234.5,-0.058
1170.22,3713.09,28.096,0.228,27.8501899008,5.78e-12,0.02,2.969,4.8,0.016
3877.41,2695.78,27.036,0.081,23.841093758,1.53e-11,0.909,-0.198,13.4,0.01
1691.25,3206.78,26.784,0.064,26.6055410538,1.93e-11,0.012,0.886,17.0,-0.018
2446.59,858.27,27.495,0.119,27.3708208813,1e-11,0.01,1.494,9.2,0.016
2781.45,3132.54,27.755,0.134,28.0154254677,7.91e-12,0.004,-0.157,8.1,-0.009
3247.86,2484.46,27.743,0.154,27.9718184726,7.99e-12,0.003,0.136,7.0,0.03
1048.0,241.17,23.715,0.015,27.2315358927,3.27e-10,0.02,-0.001,72.5,0.001
203.18,2553.47,27.073,0.081,26.7445158981,1.48e-11,0.091,-0.153,13.3,0.025
3859.94,1814.96,27.834,0.19,27.9084035455,7.35e-12,0.022,0.018,5.7,0.112
2866.53,274.72,28.106,0.19,28.1902341379,5.73e-12,0.003,1.66,5.7,-0.037
3237.94,2251.26,28.275,0.27,99.99,4.9e-12,0.013,0.336,4.0,0.046
1385.9,3479.21,26.087,0.039,25.8599758692,3.67e-11,0.003,0.246,27.5,0.008
3928.67,3014.52,28.303,0.229,27.8570856948,4.77e-12,0.023,4.666,4.7,0.135
2975.88,1228.87,23.491,0.012,25.5174215363,4.02e-10,0.025,0.13,87.4,-0.012
362.16,2058.12,28.182,0.25,99.99,5.34e-12,0.027,0.482,4.3,0.068
813.44,2686.6,28.218,0.204,27.9677726629,5.16e-12,0.036,0.05,5.3,0.013
1983.29,1201.47,28.156,0.2,27.930571045,5.46e-12,0.044,0.755,5.4,-0.013
1389.28,1481.82,27.901,0.173,28.0155964634,6.91e-12,0.091,1.343,6.3,0.137
3628.13,920.6,27.455,0.116,27.2123928719,1.04e-11,0.028,-0.085,9.3,-0.004
3379.63,223.29,26.998,0.076,26.7625429222,1.59e-11,0.007,0.355,14.2,0.026
3695.02,1518.27,26.839,0.076,99.99,1.84e-11,0.567,6.595,14.4,0.094
819.0,3842.87,28.222,0.262,24.9928370604,5.14e-12,0.142,0.738,4.1,0.024
1828.14,3728.98,28.138,0.242,27.9992831612,5.56e-12,0.146,0.085,4.5,-0.052
3286.01,2715.5,28.239,0.244,28.3662987594,5.06e-12,0.005,-0.009,4.5,-0.078
81.22,3999.12,26.421,0.051,25.1009086145,2.7e-11,0.008,0.515,21.2,-0.001
2281.72,2484.5,27.901,0.162,27.9402486227,6.91e-12,0.011,-0.039,6.7,-0.115
1619.26,4013.12,25.981,0.035,27.4128482702,4.05e-11,0.002,0.297,31.2,0.004
1167.61,3378.5,26.196,0.036,25.930828336,3.32e-11,0.001,0.139,29.9,0.005
2277.49,2903.76,28.32,0.236,27.9040310227,4.7e-12,0.025,1.309,4.6,-0.061
1850.88,2384.73,27.402,0.117,27.1774996474,1.09e-11,0.006,0.218,9.2,0.042
1209.14,1088.82,27.991,0.2,28.1113774778,6.36e-12,0.007,1.939,5.4,0.043
2681.87,426.17,27.31,0.118,99.99,1.19e-11,0.774,6.961,9.2,0.104
1399.39,3165.33,26.485,0.048,26.2574416029,2.55e-11,0.002,-0.048,22.7,0.004
1026.55,2695.43,28.195,0.204,27.8678943488,5.27e-12,0.06,1.021,5.3,-0.078
2026.07,1681.02,27.928,0.205,28.0073873184,6.74e-12,0.031,0.061,5.3,-0.07
3225.58,2650.7,27.79,0.145,27.7393046658,7.66e-12,0.078,0.123,7.5,-0.031
2842.52,1036.91,26.686,0.06,26.4301122988,2.12e-11,0.007,0.545,18.1,0.02
312.87,580.93,27.84,0.187,99.99,7.31e-12,0.014,0.277,5.8,-0.225
2842.74,3935.96,26.728,0.177,27.8745099734,2.04e-11,0.026,-0.129,6.1,0.007
2904.53,1948.67,26.781,0.059,26.588635782,1.94e-11,0.007,0.049,18.4,0.02
3154.12,3469.36,26.284,0.044,28.4126710322,3.07e-11,0.001,-0.117,24.9,-0.004
1000.26,2172.01,26.896,0.209,27.7782647611,1.74e-11,0.005,0.226,5.2,-0.106
688.99,3700.13,28.013,0.224,27.7814949131,6.23e-12,0.035,1.484,4.8,0.17
1073.93,2286.23,28.268,0.271,28.0854596351,4.93e-12,0.041,0.484,4.0,-0.049
1306.39,2821.13,27.05,0.085,26.8503402042,1.51e-11,0.037,0.859,12.8,-0.02
3821.5,2032.81,28.171,0.212,28.1596360565,5.39e-12,0.006,1.632,5.1,-0.105
684.39,2388.29,26.861,0.067,26.6680444859,1.8e-11,0.106,0.455,16.2,0.016
3257.56,3244.39,28.262,0.219,27.9792241044,4.96e-12,0.001,0.269,5.0,-0.082
