x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
1424.69,1958.26,25.586,0.096,27.0674646447,5.83e-11,0.099,0.793,11.3,-0.008
3818.58,839.14,26.7,0.262,26.9063166157,2.09e-11,0.048,0.153,4.1,-0.008
526.17,752.34,26.332,0.189,26.320327342,2.93e-11,0.099,3.298,5.7,0.128
1691.25,3206.78,25.07,0.062,25.0370565013,9.38e-11,0.041,0.708,17.6,-0.02
2446.59,858.27,26.086,0.15,26.0188176397,3.68e-11,0.034,-0.865,7.2,0.037
203.18,2553.47,25.544,0.093,25.4260561249,6.06e-11,0.03,0.143,11.6,0.084
1507.85,3135.97,26.839,0.304,99.99,1.84e-11,0.342,0.181,3.6,0.334
1627.1,308.0,26.774,0.286,27.1456808854,1.95e-11,0.016,-0.268,3.8,0.058
2164.49,2389.28,26.755,0.273,99.99,1.99e-11,0.065,-0.04,4.0,-0.042
1271.26,3138.61,26.747,0.273,27.2272945713,2e-11,0.076,1.824,4.0,-0.049
3628.13,920.6,25.926,0.131,25.8383009391,4.26e-11,0.099,0.81,8.3,0.014
3379.63,223.29,25.8,0.116,25.6028944738,4.79e-11,0.034,-0.281,9.4,0.04
2190.4,170.99,26.534,0.228,99.99,2.43e-11,0.016,-0.023,4.8,-0.137
2281.72,2484.5,26.87,0.302,26.9591063817,1.79e-11,0.072,-1.011,3.6,0.11
1619.26,4013.12,26.041,0.146,99.99,3.83e-11,0.0,0.122,7.5,-0.002
1167.61,3378.5,24.43,0.036,24.444564022,1.69e-10,0.002,0.188,30.5,-0.017
2277.49,2903.76,26.279,0.178,26.8717192218,3.08e-11,0.01,-0.311,6.1,-0.072
1850.88,2384.73,25.992,0.139,25.931232258,4.01e-11,0.027,1.106,7.8,0.037
1399.39,3165.33,24.752,0.047,24.7355793856,1.26e-10,0.012,0.177,23.2,-0.011
1026.55,2695.43,26.502,0.217,26.856843373,2.51e-11,0.235,0.613,5.0,-0.181
3225.58,2650.7,26.865,0.303,26.5181632711,1.8e-11,0.199,1.166,3.6,0.135
2842.52,1036.91,24.85,0.051,24.894349703,1.15e-10,0.009,0.195,21.3,-0.017
2904.53,1948.67,25.475,0.087,25.3922981242,6.45e-11,0.029,0.15,12.5,0.005
3154.12,3469.36,24.948,0.055,27.4896890005,1.05e-10,0.005,0.117,19.6,-0.005
1000.26,2172.01,25.902,0.255,26.8086212499,4.36e-11,0.013,-1.314,4.3,-0.025
688.99,3700.13,26.968,0.342,26.6501433935,1.63e-11,0.095,0.683,3.2,0.359
1306.39,2821.13,25.413,0.083,25.3350077032,6.84e-11,0.101,0.831,13.0,-0.018
1925.19,2846.38,24.429,0.036,24.3394952951,1.69e-10,0.009,0.054,30.3,-0.013
2764.1,2919.3,25.579,0.096,25.4301889478,5.87e-11,0.016,0.608,11.3,0.006
2232.9,1985.19,26.762,0.281,26.8314525179,1.97e-11,0.019,0.431,3.9,0.041
904.78,3867.94,26.77,0.285,25.9281209543,1.96e-11,0.286,0.048,3.8,0.15
3813.9,2771.57,26.535,0.226,26.8900676389,2.43e-11,0.025,0.222,4.8,-0.009
1368.61,1424.0,24.799,0.049,21.9191623951,1.2e-10,0.007,0.139,22.1,-0.021
1426.41,174.64,24.793,0.048,23.2112251054,1.21e-10,0.006,0.801,22.5,-0.011
2989.21,3608.91,25.952,0.264,27.1406522846,4.16e-11,0.043,1.734,4.1,0.04
2953.27,3948.78,26.637,0.249,27.224367836,2.21e-11,0.035,0.365,4.4,-0.079
3514.59,1983.81,26.602,0.241,26.8931177942,2.29e-11,0.017,-0.346,4.5,-0.028
3989.08,1989.04,26.473,0.217,26.3491438414,2.58e-11,0.053,0.315,5.0,-0.116
4079.97,2581.2,26.522,0.227,99.99,2.46e-11,0.013,-0.042,4.8,0.088
2823.98,3421.98,26.305,0.187,26.87392831,3e-11,0.021,-0.151,5.8,-0.04
52.85,3437.38,25.988,0.138,25.9798043222,4.03e-11,0.034,0.562,7.8,0.038
3328.1,3376.74,26.506,0.221,27.0418280543,2.5e-11,0.132,0.636,4.9,-0.256
4001.91,3902.23,26.186,0.166,26.3143911844,3.35e-11,0.023,0.132,6.5,-0.093
2018.27,1820.0,26.438,0.21,26.3743795205,2.66e-11,0.109,0.93,5.2,0.047
1453.56,349.7,26.816,0.289,99.99,1.88e-11,0.023,-1.194,3.8,0.164
1779.38,3414.73,26.568,0.232,26.9811947759,2.36e-11,0.111,2.732,4.7,0.031
2133.91,592.78,25.448,0.086,25.426600807,6.62e-11,0.03,0.541,12.6,0.036
3029.93,1562.09,24.579,0.041,21.5194954015,1.47e-10,0.004,0.104,26.7,0.027
2662.5,2657.77,25.466,0.087,25.3476045814,6.51e-11,0.004,-0.097,12.5,0.054
430.09,3609.36,26.003,0.141,26.4002472016,3.97e-11,0.093,-0.007,7.7,0.067
664.03,1532.47,26.368,0.194,26.7508892965,2.84e-11,0.033,0.012,5.6,0.015
215.21,769.76,25.723,0.11,26.1778262305,5.14e-11,0.01,0.083,9.9,-0.076
