         T         c12         c13         c14 
   1116.36  13.3366703  17.6413999  20.5517472 
   1116.88  13.3298933  17.6323099  20.5410453 
   1117.39  13.3231194  17.6232240  20.5303484 
   1117.90  13.3163487  17.6141424  20.5196563 
   1118.42  13.3095811  17.6050649  20.5089692 
   1118.94  13.3028165  17.5959916  20.4982870 
   1119.45  13.2960551  17.5869225  20.4876097 
   1119.97  13.2892969  17.5778576  20.4769374 
   1120.48  13.2825417  17.5687968  20.4662700 
   1121.00  13.2757896  17.5597402  20.4556074 
   1121.51  13.2690407  17.5506878  20.4449498 
   1122.03  13.2622948  17.5416395  20.4342971 
   1122.55  13.2555521  17.5325954  20.4236494 
   1123.07  13.2488125  17.5235555  20.4130065 
   1123.58  13.2420759  17.5145198  20.4023685 
   1124.10  13.2353425  17.5054882  20.3917354 
   1124.62  13.2286122  17.4964607  20.3811073 
   1125.14  13.2218849  17.4874374  20.3704840 
   1125.65  13.2151608  17.4784183  20.3598656 
   1126.17  13.2084398  17.4694033  20.3492521 
   1126.69  13.2017218  17.4603925  20.3386435 
   1127.21  13.1950070  17.4513858  20.3280398 
   1127.73  13.1882952  17.4423833  20.3174410 
   1128.25  13.1815866  17.4333849  20.3068471 
   1128.77  13.1748810  17.4243907  20.2962580 
   1129.29  13.1681785  17.4154006  20.2856738 
   1129.81  13.1614791  17.4064146  20.2750945 
   1130.33  13.1547828  17.3974328  20.2645201 
   1130.85  13.1480895  17.3884552  20.2539506 
   1131.37  13.1413994  17.3794816  20.2433859 
   1131.89  13.1347123  17.3705122  20.2328261 
   1132.41  13.1280283  17.3615469  20.2222711 
   1132.94  13.1213474  17.3525857  20.2117211 
   1133.46  13.1146696  17.3436287  20.2011758 
   1133.98  13.1079948  17.3346758  20.1906355 
   1134.50  13.1013231  17.3257270  20.1801000 
   1135.03  13.0946545  17.3167824  20.1695693 
   1135.55  13.0879889  17.3078418  20.1590435 
   1136.07  13.0813265  17.2989054  20.1485226 
   1136.59  13.0746671  17.2899731  20.1380065 
   1137.12  13.0680107  17.2810449  20.1274953 
   1137.64  13.0613574  17.2721208  20.1169888 
   1138.17  13.0547072  17.2632008  20.1064873 
   1138.69  13.0480601  17.2542850  20.0959906 
   1139.21  13.0414160  17.2453732  20.0854987 
   1139.74  13.0347749  17.2364655  20.0750116 
   1140.26  13.0281370  17.2275620  20.0645294 
   1140.79  13.0215020  17.2186625  20.0540520 
   1141.32  13.0148702  17.2097672  20.0435795 
   1141.84  13.0082414  17.2008759  20.0331117 
   1142.37  13.0016156  17.1919887  20.0226488 
   1142.89  12.9949929  17.1831057  20.0121907 
   1143.42  12.9883732  17.1742267  20.0017375 
   1143.95  12.9817566  17.1653518  19.9912890 
   1144.47  12.9751431  17.1564810  19.9808454 
   1145.00  12.9685325  17.1476142  19.9704065 
   1145.53  12.9619251  17.1387516  19.9599725 
   1146.06  12.9553206  17.1298930  19.9495433 
   1146.58  12.9487193  17.1210386  19.9391189 
   1147.11  12.9421209  17.1121882  19.9286993 
   1147.64  12.9355256  17.1033418  19.9182845 
   1148.17  12.9289333  17.0944996  19.9078746 
   1148.70  12.9223441  17.0856614  19.8974694 
   1149.23  12.9157579  17.0768273  19.8870690 
   1149.76  12.9091747  17.0679972  19.8766734 
   1150.29  12.9025945  17.0591713  19.8662825 
   1150.82  12.8960174  17.0503493  19.8558965 
   1151.35  12.8894434  17.0415315  19.8455153 
   1151.88  12.8828723  17.0327177  19.8351388 
   1152.41  12.8763043  17.0239080  19.8247671 
   1152.94  12.8697393  17.0151023  19.8144003 
   1153.47  12.8631773  17.0063007  19.8040381 
