x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
941.28,4026.7,25.164,0.028,23.1677912561,8.6e-11,0.007,7.549,39.3,-0.002
2347.16,1915.84,27.407,0.214,27.7512958735,1.09e-11,0.337,1.789,5.1,-0.268
1268.3,3757.58,27.288,0.166,27.288356536,1.22e-11,0.007,0.285,6.5,-0.032
2491.67,1173.31,26.847,0.117,27.0084976436,1.82e-11,0.006,1.104,9.3,-0.007
3904.17,2181.49,27.198,0.161,27.0762347874,1.32e-11,0.002,0.151,6.8,0.146
3612.09,2704.68,25.286,0.032,25.2802617479,7.68e-11,0.002,0.056,34.1,-0.011
1743.44,2321.57,27.652,0.225,27.452784519,8.7e-12,0.007,-0.593,4.8,-0.008
2477.06,3558.05,25.012,0.071,27.2093651773,9.89e-11,0.136,0.571,15.2,-0.093
2066.36,78.21,26.468,0.086,26.3254131697,2.59e-11,0.012,-0.567,12.7,0.034
3196.78,3169.09,27.379,0.212,27.192393896,1.12e-11,0.007,2.685,5.1,0.236
340.14,3647.85,25.324,0.035,27.3613928955,7.42e-11,0.293,0.216,31.1,0.019
1524.35,3245.07,26.52,0.093,26.490391141,2.47e-11,0.004,-0.793,11.7,0.042
3929.87,2648.0,27.434,0.231,27.5342953464,1.06e-11,0.017,1.816,4.7,-0.007
1936.33,1141.67,27.752,0.254,28.171846065,7.93e-12,0.003,0.271,4.3,0.02
2554.08,1966.36,27.425,0.209,99.99,1.07e-11,0.055,0.826,5.2,-0.003
2445.75,2278.36,26.92,0.126,26.8324480203,1.71e-11,0.005,0.2,8.6,0.017
382.6,3203.79,24.608,0.018,24.558319223,1.43e-10,0.001,-0.008,59.7,0.011
620.43,2104.29,24.22,0.013,22.6654456335,2.05e-10,0.0,0.124,81.2,-0.003
2787.4,2608.09,26.688,0.106,26.7609640899,2.11e-11,0.012,-0.043,10.2,-0.039
657.03,1031.99,22.573,0.01,26.0897154163,9.35e-10,0.48,0.27,104.2,-0.079
3149.14,486.7,27.302,0.183,27.4426482514,1.2e-11,0.057,0.339,5.9,0.038
3091.46,1938.71,27.775,0.257,27.9171327473,7.76e-12,0.01,1.722,4.2,0.077
2146.82,1622.85,24.703,0.021,26.4085905142,1.31e-10,0.002,0.176,52.8,-0.012
2801.97,2334.44,27.615,0.247,27.5670368856,8.99e-12,0.04,3.281,4.4,0.139
3686.4,1846.1,23.612,0.009,23.5464832727,3.59e-10,0.001,-0.015,122.0,0.002
1547.88,3630.0,24.597,0.049,99.99,1.45e-10,0.488,1.14,22.1,-0.049
3376.13,3059.16,27.231,0.187,27.5441197162,1.28e-11,0.096,0.244,5.8,0.111
852.0,3226.9,24.951,0.026,22.9457530766,1.05e-10,0.003,0.09,41.9,-0.0
3011.96,3406.94,26.269,0.222,99.99,3.11e-11,0.504,0.485,4.9,-0.125
3556.78,922.54,26.002,0.056,25.9453269517,3.97e-11,0.032,0.472,19.4,0.019
2979.9,3038.46,27.245,0.173,27.3997712466,1.26e-11,0.222,-0.154,6.3,-0.076
548.31,2965.69,27.558,0.215,27.2060796802,9.48e-12,0.028,1.317,5.0,-0.009
373.96,4029.17,26.891,0.141,99.99,1.75e-11,0.266,0.836,7.7,0.019
1522.3,2516.8,24.778,0.021,24.6590779706,1.23e-10,0.001,0.227,52.1,0.009
3278.15,2214.92,27.621,0.266,27.9833146601,8.94e-12,0.008,0.964,4.1,0.035
17.0,21.09,27.391,0.225,27.4378863871,1.11e-11,0.018,0.161,4.8,-0.039
243.13,2326.72,24.982,0.025,24.8314380266,1.02e-10,0.0,0.202,43.3,0.01
512.34,3777.91,27.165,0.163,27.2704484874,1.36e-11,0.069,-0.267,6.7,0.04
1927.95,1252.68,27.488,0.222,21.3509435506,1.01e-11,0.132,5.04,4.9,-0.018
248.0,637.57,19.78,0.003,22.3799052704,1.22e-08,0.632,0.23,363.0,-2.306
623.16,2156.01,27.544,0.25,28.3376488981,9.6e-12,0.027,-1.071,4.3,0.028
1870.21,3759.15,27.334,0.199,27.3947953822,1.17e-11,0.021,2.704,5.5,-0.008
3156.3,1600.42,26.284,0.069,26.1499918146,3.07e-11,0.038,-0.117,15.7,0.024
2867.0,3713.28,26.233,0.177,27.437912256,3.21e-11,0.01,0.168,6.1,0.012
1890.34,1951.44,26.231,0.065,23.9451999947,3.22e-11,0.002,0.963,16.6,-0.007
2534.84,196.99,22.071,0.007,23.3389126724,1.48e-09,0.092,0.054,162.5,-0.019
3721.88,1527.0,25.216,0.084,99.99,8.2e-11,0.411,1.435,12.9,0.012
2462.88,3681.07,27.352,0.215,99.99,1.15e-11,0.088,0.401,5.1,-0.174
1880.75,938.88,27.374,0.204,28.122149461,1.12e-11,0.031,-0.114,5.3,0.04
1057.21,2280.0,21.405,0.002,25.3911898263,2.74e-09,0.0,0.135,486.9,-0.081
3381.61,567.31,24.904,0.022,24.7977938374,1.09e-10,0.005,-0.209,48.3,0.005
3521.96,97.04,23.323,0.06,99.99,4.69e-10,0.192,0.086,18.1,3.027
3393.76,927.02,27.167,0.174,27.297105855,1.36e-11,0.015,-0.241,6.2,-0.0
4024.25,2745.59,25.921,0.051,26.698138727,4.28e-11,0.002,0.226,21.1,-0.007
1996.5,1073.66,27.472,0.192,27.2743986562,1.03e-11,0.042,-0.477,5.7,0.005
2213.62,3091.32,27.428,0.193,27.5852794228,1.07e-11,0.025,-0.615,5.6,0.016
93.69,3113.99,27.392,0.207,27.4442326155,1.1e-11,0.011,6.202,5.2,-0.05
517.04,978.62,26.387,0.183,27.0674074729,2.79e-11,0.061,2.402,5.9,0.053
3936.5,1792.09,25.052,0.026,24.9822182469,9.53e-11,0.009,-0.041,41.9,0.001
554.78,1064.13,27.359,0.207,28.9840459416,1.14e-11,0.03,0.418,5.3,0.013
1018.59,3919.53,25.522,0.036,25.4969660212,6.19e-11,0.003,-0.037,30.5,-0.006
446.0,3041.62,25.034,0.026,24.9360803854,9.69e-11,0.005,-0.15,41.7,0.001
2733.07,2999.97,26.994,0.156,27.5608659613,1.59e-11,0.024,0.999,7.0,-0.029
2255.46,1365.93,27.46,0.21,27.4179701854,1.04e-11,0.01,0.366,5.2,-0.066
2722.5,1051.0,27.237,0.172,27.3090024557,1.27e-11,0.001,-0.081,6.3,-0.073
1707.76,884.13,24.195,0.014,22.0337973586,2.1e-10,0.023,0.133,79.2,-0.026
1261.74,1665.28,27.602,0.238,27.5095535403,9.1e-12,0.064,1.963,4.6,0.217
628.25,3347.86,25.461,0.037,26.2045237856,6.54e-11,0.005,-0.241,29.1,-0.033
2974.96,606.34,25.696,0.046,29.9911454518,5.27e-11,0.015,0.347,23.7,-0.012
3945.68,2989.41,26.011,0.055,25.9079699603,3.94e-11,0.008,1.237,19.7,-0.011
1303.51,3896.1,26.078,0.061,26.0288117527,3.71e-11,0.002,0.073,17.7,-0.015
2015.85,2729.84,27.536,0.242,28.1512169856,9.67e-12,0.038,1.85,4.5,0.025
3767.63,1609.8,27.341,0.186,27.6222869051,1.16e-11,0.199,1.338,5.9,-0.044
3938.92,1442.12,27.415,0.227,27.4252904207,1.08e-11,0.013,1.043,4.8,0.106
1814.93,3278.06,25.868,0.057,26.2075665012,4.49e-11,0.053,0.157,18.9,0.002
392.97,1882.07,23.432,0.067,99.99,4.24e-10,0.89,0.716,16.3,-1.018
3026.7,1843.94,26.128,0.067,25.3860009007,3.54e-11,0.005,-0.013,16.3,0.027
2307.57,483.02,18.444,0.001,27.4850362548,4.19e-08,0.547,0.418,778.8,-4.157
2955.17,1754.59,27.438,0.202,27.0396319493,1.06e-11,0.046,-0.341,5.4,-0.058
2136.51,3567.98,25.242,0.03,25.1756292314,8.01e-11,0.006,0.322,35.6,0.014
3835.51,3808.5,27.396,0.174,27.2708014056,1.1e-11,0.002,0.438,6.3,-0.025
140.3,3861.28,27.187,0.159,27.4500732488,1.33e-11,0.008,0.669,6.8,-0.012
1793.34,2605.44,27.39,0.181,27.3379961835,1.11e-11,0.025,1.574,6.0,0.032
2999.8,2061.4,27.708,0.259,27.8740425612,8.26e-12,0.015,0.215,4.2,0.053
1415.19,110.21,25.951,0.058,25.8266851916,4.16e-11,0.011,-0.33,18.8,-0.001
1657.68,1560.64,27.424,0.191,27.3141248054,1.07e-11,0.012,0.973,5.7,0.095
351.15,3308.38,22.635,0.005,24.7269119605,8.83e-10,0.093,0.091,237.1,-0.069
1950.78,2896.8,27.153,0.165,27.1616227767,1.38e-11,0.046,0.825,6.6,-0.105
1608.07,2728.18,27.368,0.213,28.0457756601,1.13e-11,0.033,1.055,5.1,0.008
1249.29,436.76,27.172,0.158,27.6250532582,1.35e-11,0.054,2.151,6.9,-0.135
3806.81,1352.77,26.776,0.117,27.0744260443,1.95e-11,0.212,-0.123,9.2,-0.131
4084.96,1860.03,22.747,0.035,26.2306943,7.97e-10,0.107,0.044,31.0,-0.111
1227.09,3046.98,26.258,0.08,26.1532750876,3.14e-11,0.035,0.527,13.6,0.008
3202.47,1110.89,27.71,0.26,27.2588608196,8.24e-12,0.006,1.693,4.2,0.047
2058.05,2528.18,26.427,0.23,27.1542982376,2.69e-11,0.022,0.191,4.7,-0.142
3447.2,1809.21,24.606,0.019,24.5262098738,1.44e-10,0.001,0.174,57.5,0.001
84.98,3086.71,26.589,0.1,26.5500066273,2.31e-11,0.017,0.43,10.9,0.031
1816.81,3858.35,22.327,0.004,23.9234482029,1.17e-09,0.0,0.327,283.1,-0.041
120.63,2931.08,25.456,0.037,27.5323090151,6.57e-11,0.002,-0.291,29.4,-0.019
2273.46,3040.44,27.193,0.149,27.1964045218,1.33e-11,0.019,-0.321,7.3,0.005
1528.99,2270.88,27.427,0.227,27.5422632622,1.07e-11,0.007,-0.419,4.8,0.018
398.95,1911.0,24.264,0.039,99.99,1.97e-10,0.647,0.209,28.0,-0.124
177.13,3150.86,27.274,0.192,28.1737200751,1.23e-11,0.096,0.37,5.7,-0.005
38.71,787.15,27.503,0.227,99.99,9.97e-12,0.025,1.06,4.8,0.083
3150.38,3160.94,26.995,0.141,26.7506493967,1.59e-11,0.008,0.468,7.7,0.049
906.22,2670.46,25.681,0.042,25.6244754336,5.34e-11,0.009,-0.053,25.6,-0.008
1424.69,1958.26,26.354,0.077,27.6913042447,2.87e-11,0.057,0.593,14.1,0.005
1230.21,3028.69,27.442,0.203,27.9213424091,1.05e-11,0.011,0.797,5.4,0.164
3818.58,839.14,27.043,0.145,27.3025985097,1.52e-11,0.023,0.007,7.5,-0.056
3286.91,465.17,27.181,0.181,27.4495231995,1.34e-11,0.386,0.604,6.0,0.026
3333.59,1714.7,27.617,0.225,28.1300229323,8.98e-12,0.028,-0.027,4.8,-0.061
1268.29,2766.23,27.686,0.257,99.99,8.43e-12,0.005,0.552,4.2,0.069
690.96,2399.89,26.86,0.14,26.3315479585,1.8e-11,1.089,0.289,7.7,-0.11
2979.66,2689.85,27.44,0.207,27.3495129188,1.06e-11,0.005,-1.294,5.2,0.102
2545.97,2872.0,21.478,0.005,26.0732945098,2.56e-09,0.076,0.163,237.9,-0.064
1170.22,3713.09,27.483,0.23,27.4092720354,1.02e-11,0.045,2.293,4.7,0.102
3877.41,2695.78,26.479,0.087,23.4861126578,2.56e-11,0.854,4.682,12.4,0.051
1691.25,3206.78,25.733,0.046,25.6752350165,5.09e-11,0.011,0.83,23.7,-0.003
2446.59,858.27,26.634,0.097,26.565995031,2.22e-11,0.008,0.977,11.2,0.036
2781.45,3132.54,27.685,0.23,27.6276220692,8.43e-12,0.008,0.631,4.7,-0.015
3247.86,2484.46,27.177,0.161,27.2521558763,1.35e-11,0.008,0.448,6.7,0.001
