x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
2131.29,3105.92,25.846,0.036,25.6669854138,4.59e-11,0.007,0.045,30.4,0.006
1268.3,3757.58,27.879,0.182,27.5362383444,7.05e-12,0.004,-0.146,6.0,-0.065
1984.69,2016.76,27.926,0.207,27.9248209681,6.76e-12,0.011,-0.066,5.2,-0.018
2491.67,1173.31,27.263,0.112,27.2357452795,1.24e-11,0.011,2.141,9.7,0.028
3904.17,2181.49,27.564,0.147,27.3582096764,9.43e-12,0.004,1.159,7.4,0.084
3612.09,2704.68,25.937,0.038,25.6796633511,4.22e-11,0.002,-0.106,28.7,-0.012
1743.44,2321.57,27.725,0.154,27.6594697354,8.13e-12,0.004,1.058,7.0,0.028
2066.36,78.21,26.89,0.084,26.6764469718,1.75e-11,0.018,-0.465,12.9,-0.003
3196.78,3169.09,27.702,0.195,27.4397538558,8.3e-12,0.008,0.569,5.6,0.109
340.14,3647.85,26.076,0.046,27.7963798982,3.71e-11,0.313,-0.412,23.8,0.012
1524.35,3245.07,27.076,0.104,26.8298882117,1.48e-11,0.006,0.761,10.4,0.003
3929.87,2648.0,27.747,0.211,27.6892766629,7.97e-12,0.034,0.044,5.1,-0.126
2445.75,2278.36,27.208,0.109,27.1458958331,1.31e-11,0.005,-0.046,9.9,-0.041
2787.4,2608.09,27.266,0.122,27.0162327862,1.24e-11,0.015,0.437,8.9,0.029
3149.14,486.7,28.009,0.231,27.655361449,6.26e-12,0.051,1.828,4.7,0.046
3091.46,1938.71,27.958,0.195,28.1918250168,6.56e-12,0.009,-0.18,5.6,-0.067
9.54,3215.69,27.891,0.184,27.75057617,6.97e-12,0.026,4.024,5.9,0.095
1834.01,2165.71,28.119,0.269,27.4260055508,5.65e-12,0.054,0.371,4.0,0.04
2801.97,2334.44,27.763,0.191,27.7355388184,7.85e-12,0.044,2.238,5.7,0.022
3376.13,3059.16,27.969,0.249,27.6926296356,6.49e-12,0.101,0.093,4.4,-0.004
852.0,3226.9,25.671,0.033,23.4991987906,5.39e-11,0.004,-0.111,32.6,-0.005
3556.78,922.54,26.616,0.064,26.3223368025,2.26e-11,0.025,1.032,16.9,0.009
2979.9,3038.46,27.621,0.165,27.6262406842,8.95e-12,0.155,3.029,6.6,0.013
548.31,2965.69,28.012,0.21,27.4567259981,6.24e-12,0.017,1.475,5.2,0.051
1548.21,2212.77,28.131,0.26,28.3035769011,5.59e-12,0.153,-0.984,4.2,0.011
289.95,851.4,27.938,0.226,99.99,6.68e-12,0.005,1.139,4.8,0.011
17.0,21.09,27.963,0.261,27.7382925258,6.53e-12,0.024,-0.634,4.2,0.027
512.34,3777.91,27.617,0.165,27.5755073203,8.98e-12,0.063,-0.457,6.6,0.037
1927.95,1252.68,27.922,0.223,21.5246168958,6.78e-12,0.097,4.152,4.9,-0.018
623.16,2156.01,27.809,0.217,28.5962946015,7.52e-12,0.027,-0.082,5.0,0.02
1870.21,3759.15,27.573,0.168,27.6165516792,9.35e-12,0.013,0.579,6.4,-0.025
3156.3,1600.42,26.71,0.067,26.5115561799,2.07e-11,0.02,-0.168,16.3,-0.001
2867.0,3713.28,26.913,0.235,27.6483361189,1.72e-11,0.011,0.755,4.6,-0.08
