         id               ra              dec             flux      type           n               re              phi            ratio     notes 
       6196       53.1504770      -27.8521479        0.3022660    sersic       0.605        1.8080000      -10.1550000        0.2913000   comment 
       6198       53.1239540      -27.8523429        1.1516151    sersic       0.804        5.4360000       17.2910000        0.4656000   comment 
       6199       53.1886166      -27.8522132        3.7298994    sersic       0.954        1.8810000       32.7890000        0.5861000   comment 
       6200       53.0833620      -27.8520684        0.3179931    sersic       1.535        0.9110000      -19.1900000        0.9773000   comment 
       6201       53.1631123      -27.8520772        0.3503016    sersic       1.502        0.6470000        5.4570000        0.8401000   comment 
       6202       53.1725956      -27.8522093        1.6026910    sersic       3.639        0.9120000       48.8200000        0.5818000   comment 
       6204       53.0846052      -27.8520574        1.0849576    sersic       1.291        2.2620000      -67.1850000        0.4345000   comment 
       6205       53.0896744      -27.8522934        1.5654387    sersic       1.011        1.1400000       58.1160000        0.4896000   comment 
       6206       53.1256701      -27.8522303        0.2856624    sersic       1.119        1.2650000       17.0430000        0.9579000   comment 
       6207       53.1460574      -27.8519759        0.4057319    sersic       2.818        1.4460000       10.8230000        0.0801000   comment 
       6208       53.1591391      -27.8523443        3.7613073    sersic       1.199        1.8430000      -17.8140000        0.4508000   comment 
       6209       53.0724277      -27.8519560        0.2756355    sersic       2.517        0.6620000      -18.1590000        0.0393000   comment 
       6210       53.1885004      -27.8519405        0.5579672    sersic       1.252        1.3240000       28.8510000        0.6513000   comment 
       6212       53.1300716      -27.8524534        4.3093901    sersic       1.876        3.2300000      -21.8170000        0.7113000   comment 
       6213       53.1644105      -27.8519034        0.8834108    sersic       0.374        1.1190000      -63.2370000        0.5264000   comment 
       6214       53.0720273      -27.8536603        7.4609817    sersic       1.822        4.3240000       -8.6020000        0.5908000   comment 
       6215       53.1093094      -27.8518954        0.1717121    sersic       2.151        1.2760000      -33.2710000        0.9900000   comment 
       6216       53.1588273      -27.8518731        0.2408382    sersic       0.935        1.5720000       10.0730000        0.2273000   comment 
       6218       53.1183759      -27.8519405        0.8970447    sersic       0.887        1.6200000      -43.8770000        0.9104000   comment 
       6219       53.1064658      -27.8522751        4.7000571    sersic       0.659        2.0010000       20.1990000        0.6495000   comment 
       6220       53.1532737      -27.8518527        0.5115498    sersic       1.525        0.9040000      -49.3180000        0.5850000   comment 
       6222       53.1163226      -27.8519540        1.3430169    sersic       3.005        0.7340000      -31.7270000        0.4037000   comment 
       6223       53.1735456      -27.8524234        5.2879812    sersic       1.114        2.3100000        2.7370000        0.4162000   comment 
       6226       53.0867178      -27.8520991        1.2193750    sersic       0.873        2.2240000      -32.7200000        0.3669000   comment 
       6231       53.0877654      -27.8518007        0.7946342    sersic       0.686        0.5740000      -59.1160000        0.3923000   comment 
       6232       53.1702408      -27.8517101        1.0431681    sersic       0.953        1.3790000       87.6440000        0.4118000   comment 
       6234       53.1250615      -27.8518242        0.5190826    sersic       2.166        4.3060000      -23.1380000        0.5324000   comment 
       6235       53.1199842      -27.8519561        2.2166598    sersic       3.451        1.3470000       29.1500000        0.6415000   comment 
       6237       53.1427825      -27.8516586        0.7230266    sersic       1.783        2.6040000       48.7700000        0.7761000   comment 
       6239       53.1290379      -27.8517985        1.0990935    sersic       1.683        1.0750000      -80.9240000        0.7429000   comment 
       6240       53.0869061      -27.8516718        0.9299305    sersic       1.558        2.8510000      -71.8680000        0.2779000   comment 
       6241       53.1562919      -27.8516753        0.3060771    sersic       1.855        3.0720000       21.2080000        0.5427000   comment 
       6242       53.1627798      -27.8516646        0.4114974    sersic       1.089        2.6910000       45.8290000        0.4024000   comment 
       6243       53.0654988      -27.8517070        1.0917276    sersic       2.373        1.2560000      -57.5390000        0.3102000   comment 
       6244       53.1589947      -27.8516360        0.4194191    sersic       3.003        8.0880000        5.7660000        0.3514000   comment 
       6246       53.1378151      -27.8531431       28.3381307    sersic       0.579        3.5060000      -53.4510000        0.7698000   comment 
       6249       53.1801217      -27.8515689        0.5027945    sersic       0.320        1.3940000      -12.5420000        0.4030000   comment 
       6250       53.1157504      -27.8515781        0.4959272    sersic       2.908        0.9330000      -85.9060000        0.6349000   comment 
       6252       53.0830962      -27.8517039        0.4427219    sersic       0.622        2.3330000       22.5970000        0.3026000   comment 
       6253       53.1506916      -27.8515300        0.8410451    sersic       2.935        2.8370000      -87.4090000        0.2168000   comment 
       6254       53.1916293      -27.8523030        9.1543196    sersic       0.353        5.2830000       35.4670000        0.1925000   comment 
       6255       53.0828674      -27.8515050        1.1293080    sersic       0.638        1.4340000        8.4040000        0.6471000   comment 
       6256       53.1643565      -27.8515355        1.5437021    sersic       0.326        8.5120000       84.6950000        0.2103000   comment 
       6257       53.1397540      -27.8514963        2.0168736    sersic       0.926        3.0400000       44.5000000        0.7664000   comment 
       6258       53.1635634      -27.8515426        0.6071898    sersic       1.097        4.1630000      -51.6230000        0.2076000   comment 
       6259       53.1486928      -27.8514703        0.5919798    sersic       1.118        0.7670000      -63.2390000        0.5630000   comment 
       6261       53.1299572      -27.8519466        1.8221421    sersic       0.273        3.9760000        2.3780000        0.7954000   comment 
       6262       53.0763163      -27.8520453        1.9770718    sersic       0.360        3.9230000       27.0590000        0.2186000   comment 
       6263       53.0839533      -27.8514419        0.4887424    sersic       0.696        1.4610000      -88.4150000        0.6033000   comment 
       6264       53.1225536      -27.8527296        9.5993184    sersic       1.234        3.6140000       86.8700000        0.4136000   comment 
       6266       53.1056744      -27.8514624        0.9320497    sersic       3.811        7.3930000      -32.5350000        0.4869000   comment 
       6269       53.1023882      -27.8514301        1.0705925    sersic       2.210        2.9550000       30.2350000        0.5132000   comment 
       6271       53.0766562      -27.8513716        2.2495323    sersic       2.401        2.4760000      -75.4700000        0.6515000   comment 
       6272       53.1407919      -27.8513238        0.5084729    sersic       0.473        0.8620000       28.1170000        0.7521000   comment 
       6273       53.0718996      -27.8513026        0.3714331    sersic       0.353        1.5570000      -84.4090000        0.3194000   comment 
       6275       53.1004676      -27.8514706        1.0851941    sersic       0.915        1.1490000      -70.8400000        0.5816000   comment 
       6277       53.0566645      -27.8515587        2.3117889    sersic       4.166        2.1590000       41.3050000        0.8219000   comment 
       6278       53.0601149      -27.8529957       11.7681006    sersic       2.567        1.3740000       88.5710000        0.7319000   comment 
       6279       53.0965441      -27.8517418        1.5366288    sersic       0.658        1.9270000       49.2330000        0.8475000   comment 
       6280       53.1241658      -27.8512340        2.0550696    sersic       0.402        2.2310000       85.6010000        0.3747000   comment 
       6281       53.1614425      -27.8511781        1.4216383    sersic       2.466       10.7650000       41.0210000        0.1320000   comment 
       6283       53.0599293      -27.8516050        1.6788275    sersic       0.402        2.1990000       -2.0060000        0.7988000   comment 
       6284       53.1609920      -27.8515451        2.5078081    sersic       0.647        3.6350000       44.8340000        0.6169000   comment 
       6285       53.1960915      -27.8516160        2.0149293    sersic       0.870        1.4200000      -49.3900000        0.6193000   comment 
       6286       53.1258587      -27.8511489        0.4680361    sersic       0.730        0.2570000       23.3410000        0.0205000   comment 
       6287       53.1225073      -27.8512535        1.8813444    sersic       0.344        2.7050000       44.8630000        0.4027000   comment 
       6288       53.0821855      -27.8510900        0.8065141    sersic       1.008        1.2900000      -80.6800000        0.4777000   comment 
       6289       53.0849163      -27.8513344        0.6118775    sersic       0.419        2.4240000        9.4540000        0.4455000   comment 
       6290       53.0886718      -27.8518744       12.3507790    sersic       1.682        1.6470000      -54.3690000        0.6879000   comment 
