         id               ra              dec      mag      type         n               re              phi            ratio     notes 
       6256       53.1643565      -27.8515355  24.6737    sersic     0.372            8.689           80.501           0.1940   comment 
       6257       53.1397540      -27.8514963  24.9076    sersic     0.969            3.241           45.219           0.7259   comment 
       6258       53.1635634      -27.8515426  25.2103    sersic     1.097            4.163          -51.623           0.2076   comment 
       6259       53.1486928      -27.8514703  25.8891    sersic     0.985            0.927          -89.893           0.4698   comment 
       6261       53.1299572      -27.8519466  24.6857    sersic     0.382            3.725           22.902           0.8607   comment 
       6262       53.0763163      -27.8520453  24.4202    sersic     0.393            3.557           28.295           0.2476   comment 
       6263       53.0839533      -27.8514419  26.5387    sersic     0.696            1.461          -88.415           0.6033   comment 
       6264       53.1225536      -27.8527296  20.8264    sersic     1.429            3.110           87.795           0.4012   comment 
       6266       53.1056744      -27.8514624  25.8642    sersic     3.811            7.393          -32.535           0.4869   comment 
       6269       53.1023882      -27.8514301  25.9634    sersic     2.210            2.955           30.235           0.5132   comment 
       6271       53.0766562      -27.8513716   25.513    sersic     2.401            2.476          -75.470           0.6515   comment 
       6272       53.1407919      -27.8513238  26.2843    sersic     0.473            0.862           28.117           0.7521   comment 
       6273       53.0718996      -27.8513026  26.5741    sersic     0.353            1.557          -84.409           0.3194   comment 
       6275       53.1004676      -27.8514706  25.2281    sersic     0.934            1.318          -67.121           0.4954   comment 
       6277       53.0566645      -27.8515587  24.2936    sersic     4.166            2.159           41.305           0.8219   comment 
       6278       53.0601149      -27.8529957  21.2298    sersic     2.417            1.406          -86.700           0.7512   comment 
       6279       53.0965441      -27.8517418   23.283    sersic     0.892            1.853           47.983           0.8342   comment 
       6280       53.1241658      -27.8512340  25.6555    sersic     0.402            2.231           85.601           0.3747   comment 
       6281       53.1614425      -27.8511781  25.8965    sersic     2.466           10.765           41.021           0.1320   comment 
       6283       53.0599293      -27.8516050  24.8183    sersic     0.402            2.199           -2.006           0.7988   comment 
       6284       53.1609920      -27.8515451  24.7974    sersic     0.647            3.635           44.834           0.6169   comment 
       6285       53.1960915      -27.8516160  23.3168    sersic     0.825            1.315          -58.403           0.5580   comment 
       6286       53.1258587      -27.8511489  25.8107    sersic     0.730            0.257           23.341           0.0205   comment 
       6287       53.1225073      -27.8512535  25.2685    sersic     0.422            2.377           47.733           0.4386   comment 
       6288       53.0821855      -27.8510900  26.1603    sersic     1.008            1.290          -80.680           0.4777   comment 
       6289       53.0849163      -27.8513344  25.3262    sersic     0.419            2.424            9.454           0.4455   comment 
       6290       53.0886718      -27.8518744  22.3312    sersic     1.502            1.692          -55.764           0.6492   comment 
       6291       53.0997602      -27.8510866  27.0967    sersic     0.601            0.741          -28.000           0.5728   comment 
       6292       53.1425193      -27.8510938  26.3255    sersic     0.728            1.218           -8.058           0.7907   comment 
       6294       53.1243597      -27.8516265  23.5522    sersic     5.154            6.126          -44.807           0.6510   comment 
       6295       53.1390891      -27.8512334  25.3374    sersic     1.512            2.148          -62.354           0.6736   comment 
       6296       53.1446002      -27.8515474  24.1016    sersic     2.141            1.530          -28.682           0.5667   comment 
       6297       53.1028817      -27.8511006  26.1839    sersic     5.464            1.885           49.972           0.3663   comment 
       6298       53.1036257      -27.8510409  26.4621    sersic     0.906            1.361            5.972           0.6350   comment 
       6301       53.1850915      -27.8514179  22.7897    sersic     1.139            2.571          -52.640           0.4111   comment 
       6303       53.0949181      -27.8509764  26.1308    sersic     1.559            0.860          -46.462           0.0419   comment 
       6305       53.1721823      -27.8509594  26.0032    sersic     1.865            1.268           16.758           0.5228   comment 
       6306       53.0663721      -27.8509455   26.297    sersic     2.984            1.100          -87.174           0.3261   comment 
       6307       53.1508686      -27.8513827  24.9744    sersic     1.040            2.959          -16.878           0.3213   comment 
       6308       53.1091671      -27.8529173  20.1418    sersic     1.864            7.648          -87.443           0.3291   comment 
       6309       53.1883529      -27.8510814  23.7791    sersic     0.772            1.128            4.670           0.6511   comment 
       6313       53.0851910      -27.8508672  26.4248    sersic     2.143            2.022          -61.793           0.9832   comment 
       6314       53.1204845      -27.8516400   23.415    sersic     0.627            4.074          -84.032           0.8181   comment 
       6318       53.0680693      -27.8508017  26.0458    sersic     6.178            2.432          -32.640           0.4645   comment 
       6319       53.1605636      -27.8508137  26.9763    sersic     3.633            0.309          -12.646           0.0701   comment 
       6320       53.1017422      -27.8509732  24.9298     point     4.802            0.488          -53.050           0.3216   comment 
       6321       53.0846325      -27.8510443  25.2141    sersic     1.462            1.543          -14.596           0.2828   comment 
       6322       53.1602181      -27.8509935  25.2855    sersic     3.217            1.037            0.797           0.4236   comment 
       6323       53.1396114      -27.8513928  23.9717    sersic     1.377            1.213          -65.028           0.3556   comment 
       6324       53.1469854      -27.8507678  26.5939    sersic     1.913            0.748           48.028           0.1399   comment 
       6325       53.0588273      -27.8507568  26.3163    sersic     1.031            0.316          -26.295           0.6667   comment 
       6326       53.1652519      -27.8511259   24.316    sersic     0.975            2.326            7.343           0.9740   comment 
       6327       53.1782778      -27.8507218  26.1817    sersic     3.717            1.924          -29.273           0.2951   comment 
       6328       53.0806666      -27.8507570  26.1687    sersic     0.965            1.404           10.966           0.3222   comment 
       6329       53.1235159      -27.8506727  26.7628    sersic     2.569            1.536           58.393           0.4705   comment 
       6332       53.1224813      -27.8510574   24.526    sersic     2.370            1.675           79.288           0.7700   comment 
       6334       53.1103995      -27.8506250  26.2032    sersic     1.225            1.408           33.170           0.7061   comment 
       6336       53.1636681      -27.8513335  23.4644    sersic     6.362            7.115          -63.560           0.2948   comment 
       6342       53.0955295      -27.8512778  22.2207    sersic     0.702            3.102           83.424           0.5820   comment 
       6345       53.0833370      -27.8505579  26.5566    sersic     0.657            1.793           29.295           0.9230   comment 
       6346       53.1466090      -27.8509500  24.4067    sersic     0.532            1.880           63.980           0.4742   comment 
       6347       53.1669851      -27.8505375  26.5673    sersic     0.451            3.997          -85.433           0.3338   comment 
       6351       53.1601122      -27.8506566  25.4338    sersic     4.553            2.132           65.838           0.5301   comment 
       6352       53.0803392      -27.8505757  25.6207    sersic     2.534            0.935           78.332           0.6263   comment 
       6354       53.0903434      -27.8509006  24.6669    sersic     2.073            1.642            8.295           0.6377   comment 
       6355       53.1339596      -27.8507240  24.4118    sersic     0.859            4.084          -80.074           0.1772   comment 
       6356       53.1936782      -27.8504891  25.9528    sersic     0.564            1.580           28.842           0.5006   comment 
       6358       53.1080053      -27.8505091  26.1802    sersic     2.890            2.210           38.261           0.1734   comment 
       6359       53.1493990      -27.8512973  23.8228    sersic     0.426            3.778            1.067           0.3654   comment 
       6361       53.1107492      -27.8504290  26.8407    sersic     0.687            0.530           -5.898           0.4031   comment 
       6364       53.0785415      -27.8503590  26.9896    sersic     6.895            0.236           35.413           0.0354   comment 
       6365       53.1766785      -27.8503313  26.1934    sersic     2.571            1.381          -12.886           0.6941   comment 
       6366       53.0942825      -27.8503470  26.1575    sersic     1.547            1.220          -76.331           0.9016   comment 
       6367       53.0930217      -27.8503260  26.0585    sersic     0.617            1.654           59.864           0.0311   comment 
       6368       53.0947088      -27.8507776  24.6613    sersic     0.343            3.240           22.602           0.1880   comment 
       6369       53.1957872      -27.8502902   25.588    sersic     1.306            0.805          -79.604           0.3510   comment 
       6371       53.1825809      -27.8503490  25.4055    sersic     1.498            0.694           72.484           0.0678   comment 
       6377       53.1629707      -27.8513280  23.2498    sersic     0.830            4.662          -29.281           0.6128   comment 
       6378       53.1714864      -27.8504174  25.1763    sersic     0.323            2.621           22.068           0.2720   comment 
       6380       53.1371352      -27.8521744   21.939    sersic     5.785            1.020          -70.689           0.9237   comment 
       6382       53.1025904      -27.8504579  24.0307    sersic     1.973            0.795          -64.329           0.6928   comment 
       6383       53.1813533      -27.8503237  24.6139    sersic     0.691            4.710           68.730           0.3750   comment 
       6384       53.1193880      -27.8502562  25.4919    sersic     2.273            1.171          -73.412           0.8157   comment 
       6385       53.1070913      -27.8501667  26.6413    sersic     1.473            0.977          -73.740           0.9997   comment 
       6386       53.0641806      -27.8502256  25.5176    sersic     0.958            2.490          -58.291           0.2704   comment 
       6387       53.0826541      -27.8506710  24.2509    sersic     0.827            3.346           32.991           0.1658   comment 
       6388       53.1674752      -27.8501332  26.0037    sersic     3.521            2.650           38.028           0.2181   comment 
       6390       53.1965708      -27.8516962  20.7478    sersic     4.315            4.857          -24.089           0.4299   comment 
       6391       53.1133487      -27.8501091  25.9718    sersic     0.336            1.745           -0.642           0.5832   comment 
       6392       53.1407050      -27.8505867  23.6486    sersic     1.363            1.630          -37.274           0.4921   comment 
       6394       53.1922348      -27.8503251  23.9158    sersic     0.654            2.745          -44.148           0.3556   comment 
       6396       53.1925707      -27.8500743  24.9401    sersic     0.450            1.266           35.998           0.7911   comment 
       6397       53.0773475      -27.8500263  26.6543    sersic     2.027            0.906           -2.909           0.6447   comment 
       6398       53.0976694      -27.8500151  25.6111    sersic     6.697           20.884           48.873           0.8777   comment 
       6399       53.1138574      -27.8501995  25.2244    sersic     0.737            4.750           73.318           0.4873   comment 
       6402       53.1515841      -27.8501300  25.7588    sersic     1.740            1.624           -3.953           0.2683   comment 
       6403       53.0983263      -27.8504245  24.1849    sersic     6.473            1.509          -31.265           0.5018   comment 
       6404       53.1973956      -27.8501816  24.2061    sersic     1.847            5.169           58.026           0.4687   comment 
       6405       53.1348068      -27.8501427   24.779    sersic     1.303            1.303          -19.630           0.7039   comment 
       6407       53.0777737      -27.8501057  25.3224    sersic     0.714            2.401           52.671           0.3920   comment 
       6408       53.0572612      -27.8499322  26.4875    sersic     1.650            0.621          -73.989           0.3091   comment 
       6409       53.1528297      -27.8507812  23.0974    sersic     1.105            3.605           41.973           0.4333   comment 
       6410       53.0627033      -27.8499142  26.2889    sersic     1.527            2.757           55.249           0.4345   comment 
       6411       53.0623235      -27.8512594  22.6668    sersic     1.516            2.815          -82.297           0.5664   comment 
       6412       53.0979169      -27.8498931  26.4137    sersic     0.825            1.136           64.275           0.0546   comment 
       6413       53.1468944      -27.8513305  21.9953    sersic     3.533            2.309           37.632           0.8894   comment 
       6414       53.1100783      -27.8504554  23.5579    sersic     0.925            2.135           -7.423           0.6487   comment 
